id_studente,id_classe,nome,cognome,sesso,cittadinanza
STU0115,AQSD01201N_0009,Giada,Mercalli,F,ITA
STU0116,AQSD01201N_0009,Dina,Gaito,F,ITA
STU0117,AQSD01201N_0009,Morena,Trupiano,F,ITA
STU0118,AQSD01201N_0009,Eleanora,Argento,F,ITA
STU0119,AQSD01201N_0009,Maria,Ughi,F,ITA
STU0120,AQSD01201N_0010,Gioele,Dellucci,M,ITA
STU0121,AQSD01201N_0010,Antonella,Inzaghi,F,ITA
STU0122,AQSD01201N_0010,Corrado,Desio,M,ITA
STU0123,AQSD01201N_0010,Marta,Gasperi,F,ITA
STU0124,AQSD01201N_0010,Flavia,Bodoni,F,ITA
STU0125,AQSD01201N_0010,Irma,Battisti,F,ITA
STU0126,AQSD01201N_0010,Sylvia,Marini,F,ITA
STU0127,AQSD01201N_0010,Marina,Buonauro,F,ITA
STU0128,AQSD01201N_0010,Annalisa,Donarelli,F,ITA
STU0129,AQSD01201N_0010,Saverio,Monti,M,ITA
STU0130,AQSD01201N_0010,Clelia,Ferrazzi,F,ITA
STU0131,AQSD01201N_0010,Viridiana,Verri,F,NON_ITA
STU0132,AQSD01201N_0010,Giulietta,Nadi,F,ITA
STU0133,AQSD01201N_0010,Fiorino,Sanudo,M,ITA
STU0134,AQSD01201N_0010,Michela,Cossiga,F,ITA
STU0135,AQSD01201N_0010,Stella,Albertini,F,ITA
STU0136,AQSD01201N_0010,Griselda,Ginese,F,NON_ITA
STU0137,AQSD01201N_0010,Victoria,Leopardi,F,ITA
STU0138,AQSD01201N_0011,Morena,Ortese,F,ITA
STU0139,AQSD01201N_0011,Paloma,Foletti,F,ITA
STU0140,AQSD01201N_0011,Gloria,Vismara,F,ITA
STU0141,AQSD01201N_0011,Paoletta,Ortese,F,ITA
STU0142,AQSD01201N_0011,Nedda,Rismondo,F,ITA
STU0143,AQSD01201N_0011,Bettina,Satta,F,ITA
STU0144,AQSD01201N_0011,Giuseppe,Toninelli,M,ITA
STU0145,AQSD01201N_0011,Carla,Gregori,F,ITA
STU0146,AQSD01201N_0011,Umberto,Salvo,M,ITA
STU0147,AQSD01201N_0011,Serafina,Cuda,F,NON_ITA
STU0148,AQSD01201N_0011,Monica,Gregorio,F,ITA
STU0149,AQSD01201N_0011,Pasqual,Tomasetti,M,ITA
STU0150,AQSD01201N_0012,Natalia,Verga,F,ITA
STU0151,AQSD01201N_0012,Cristina,Crispi,F,ITA
STU0152,AQSD01201N_0012,Giorgia,Caironi,F,NON_ITA
STU0153,AQSD01201N_0012,Marcella,Pistoletto,F,ITA
STU0154,AQSD01201N_0012,Liliana,Iannuzzi,F,NON_ITA
STU0155,AQSD01201N_0012,Luigina,Granatelli,F,ITA
STU0156,AQSD01201N_0012,Beatrice,Cremonesi,F,ITA
STU0157,AQSD01201N_0012,Gustavo,Lucarelli,M,ITA
STU0158,AQSD01201N_0012,Niccolò,Turchetta,M,ITA
STU0159,AQSD01201N_0012,Gabriele,Salata,M,ITA
STU0160,AQSD01201N_0012,Carla,Borroni,F,ITA
STU0161,AQSD01201N_0012,Nadia,Garzoni,F,ITA
STU0162,AQSD01201N_0012,Roman,Cimarosa,M,ITA
STU0163,AQSD01201N_0012,Angelica,Iacobucci,F,ITA
STU0164,AQSD01201N_0012,Elvira,Sonnino,F,ITA
STU0165,AQSD01201N_0012,Sophia,Balbo,F,ITA
STU0166,AQSD01201N_0012,Loredana,Chittolini,F,ITA
STU0167,AQSD01201N_0013,Maura,Correr,F,ITA
STU0168,AQSD01201N_0013,Victoria,Udinese,F,ITA
STU0169,AQSD01201N_0013,Michele,Gadda,M,ITA
STU0170,AQSD01201N_0013,Guarino,Cheda,M,ITA
STU0171,AQSD01201N_0013,Maura,Borsiere,F,ITA
STU0172,AQSD01201N_0013,Simonetta,Giannetti,F,ITA
STU0173,AQSD01201N_0013,Milena,Buscetta,F,ITA
STU0174,AQSD01201N_0013,Giorgia,Deledda,F,ITA
STU0175,AQSD01201N_0013,Valeria,Sanguineti,F,NON_ITA
STU0176,AQSD01201N_0013,Benvenuto,Ceravolo,M,ITA
STU0177,AQSD01201N_0013,Anita,Capuana,F,ITA
STU0178,AQSD01201N_0013,Renata,Borromini,F,NON_ITA
STU0179,AQSD01201N_0013,Berenice,Toso,F,ITA
STU0180,AQSD01201N_0013,Maria,Ruggeri,F,ITA
STU0181,AQSD01201N_0013,Eliana,Donati,F,ITA
STU0182,AQSD01201N_0013,Bianca,Deledda,F,ITA
STU0183,AQSD01201N_0014,Eva,Trillini,F,ITA
STU0184,AQSD01201N_0014,Salvi,Pasqua,M,ITA
STU0185,AQSD01201N_0014,Loredana,Pucci,F,ITA
STU0186,AQSD01201N_0014,Hugo,Donà,M,ITA
STU0187,AQSD01201N_0014,Valentina,Camiscione,F,ITA
STU0188,AQSD01201N_0014,Amanda,Marino,F,ITA
STU0189,AQSD01201N_0014,Federico,Vasari,M,NON_ITA
STU0190,AQSD01201N_0014,Maria,Mascheroni,F,NON_ITA
STU0191,AQSD01201N_0014,Dolores,Notarbartolo,F,ITA
STU0192,AQSD01201N_0014,Dolores,Redi,F,ITA
STU0193,AQSD01201N_0014,Martina,Morucci,F,ITA
STU0194,AQSD01201N_0014,Anita,Castellitto,F,ITA
STU0195,AQSD01201N_0014,Melania,Lippomano,F,ITA
STU0196,AQSD01201N_0014,Antonina,Pizzetti,F,ITA
STU0197,AQSD01201N_0014,Elisa,Catenazzi,F,ITA
STU0198,AQSD01201N_0014,Germana,Barcella,F,ITA
STU0199,AQSD01201N_0015,Mariana,Strangio,F,ITA
STU0200,AQSD01201N_0015,Mariana,Botta,F,ITA
STU0201,AQSD01201N_0015,Melina,Casini,F,ITA
STU0202,AQSD01201N_0015,Toni,Seddio,M,ITA
STU0203,AQSD01201N_0015,Annunziata,Tonisto,F,ITA
STU0204,AQSD01201N_0015,Jolanda,Foà,F,ITA
STU0205,AQSD01201N_0015,Elmo,Omma,M,ITA
STU0206,AQSD01201N_0015,Silvia,Casalodi,F,ITA
STU0207,AQSD01201N_0015,Ramona,Seddio,F,ITA
STU0208,AQSD01201N_0015,Barbara,Zaccardo,F,ITA
STU0209,AQSD01201N_0015,Eleanora,Traetta,F,NON_ITA
STU0210,AQSD01201N_0016,Nicoletta,Fallaci,F,ITA
STU0211,AQSD01201N_0016,Berenice,Bonomo,F,ITA
STU0212,AQSD01201N_0016,Giuliana,Pietrangeli,F,ITA
STU0213,AQSD01201N_0016,Emma,Gianetti,F,ITA
STU0214,AQSD01201N_0016,Sophia,Cafarchia,F,ITA
STU0215,AQSD01201N_0016,Tiziana,Cattaneo,F,ITA
STU0216,AQSD01201N_0016,Martina,Cuda,F,NON_ITA
STU0217,AQSD01201N_0016,Pier,Fallaci,M,ITA
STU0218,AQSD01201N_0016,Francesca,Mastroianni,F,ITA
STU0219,AQSD01201N_0016,Alessandra,Castiglione,F,ITA
STU0220,AQSD01201N_0016,Valeria,Caccianemico,F,ITA
STU0221,AQSD01201N_0016,Claudia,Dibiasi,F,NON_ITA
STU0222,AQSD01201N_0016,Hugo,Cagnin,M,ITA
STU0223,AQSD01201N_0016,Francesca,Govoni,F,ITA
STU0224,AQSD01201N_0016,Tonino,Gori,M,ITA
STU0225,AQSD01201N_0016,Imelda,Bignami,F,ITA
STU0226,AQSD01201N_0017,Alessia,Torricelli,F,ITA
STU0227,AQSD01201N_0017,Tiziana,Tirabassi,F,NON_ITA
STU0228,AQSD01201N_0017,Liliana,Innocenti,F,ITA
STU0229,AQSD01201N_0017,Stefani,Sauli,F,ITA
STU0230,AQSD01201N_0017,Leone,Bernardi,M,ITA
STU0231,AQSD01201N_0017,Delfino,Faggiani,M,ITA
STU0232,AQSD01201N_0017,Vittorio,Caetani,M,ITA
STU0233,AQSD01201N_0017,Graziella,Franceschi,F,NON_ITA
STU0234,AQSD01201N_0017,Licia,Donarelli,F,ITA
STU0235,AQSD01201N_0017,Serafina,Ferragni,F,ITA
STU0236,AQSD01201N_0017,Rosina,Tropea,F,ITA
STU0237,AQSD01201N_0017,Luisa,Bajamonti,F,ITA
STU0238,AQSD01201N_0017,Evangelista,Sanguineti,F,ITA
STU0239,AQSD01201N_0017,Iolanda,Luna,F,ITA
STU0240,AQSD01201N_0017,Natalia,Scalera,F,ITA
STU0241,AQSD01201N_0017,Loredana,Lanfranchi,F,ITA
STU0242,AQSD01201N_0017,Rodolfo,Gigli,M,ITA
STU0243,AQSD01201N_0017,Marissa,Mercantini,F,ITA
STU0244,ARRI00750X_0001,Dionigi,Caccianemico,M,ITA
STU0245,ARRI00750X_0001,Danilo,Cheda,M,ITA
STU0246,ARRI00750X_0001,Fedele,Sordi,M,ITA
STU0247,ARRI00750X_0001,Fernanda,Antonetti,F,ITA
STU0248,ARRI00750X_0001,Vincentio,Gucci,M,ITA
STU0249,ARRI00750X_0001,Milo,Gianetti,M,NON_ITA
STU0250,ARRI00750X_0001,Annibale,Sobrero,M,ITA
STU0251,ARRI00750X_0002,Gianpietro,Jacuzzi,M,ITA
STU0252,ARRI00750X_0002,Gian,Venier,M,ITA
STU0253,ARRI00750X_0002,Luciano,Roero,M,ITA
STU0254,ARRI00750X_0002,Maria,Valmarana,F,NON_ITA
STU0255,ARRI00750X_0002,Giuliano,Biagiotti,M,ITA
STU0256,ARRI00750X_0003,Adamo,Anastasi,M,ITA
STU0257,ARRI00750X_0003,Guglielmo,Combi,M,ITA
STU0258,ARRI00750X_0003,Loredana,Costanzi,F,ITA
STU0259,ARRI00750X_0003,Arnulfo,Perini,M,ITA
STU0260,ARRI00750X_0003,Gastone,Tutino,M,ITA
STU0261,ARRI00750X_0003,Maurilio,Fermi,M,NON_ITA
STU0262,ARRI00750X_0003,Napoleone,Bosio,M,ITA
STU0263,ARRI00750X_0003,Lodovico,Tamburello,M,NON_ITA
STU0264,ARRI00750X_0003,Guido,Ariasso,M,ITA
STU0265,ARRI00750X_0003,Luchino,Malipiero,M,ITA
STU0266,ARRI00750X_0003,Alberico,Jacuzzi,M,ITA
STU0267,ARRI00750X_0003,Severino,Zampa,M,ITA
STU0268,ARRI00750X_0003,Alfredo,Stein,M,ITA
STU0269,ARRI00750X_0003,Adelasia,Bignami,F,ITA
STU0270,ARRI00750X_0003,Lilla,Mercati,F,ITA
STU0271,ARRI00750X_0003,Francesco,Rosselli,M,NON_ITA
STU0272,ARRI00750X_0003,Damiano,Ferrari,M,ITA
STU0273,ARRI00750X_0003,Giuseppe,Manacorda,M,ITA
STU0274,ARRI00750X_0004,Annetta,Guarana,F,ITA
STU0275,ARRI00750X_0004,Lorenzo,Totino,M,NON_ITA
STU0276,ARRI00750X_0004,Panfilo,Verdi,M,ITA
STU0277,ARRI00750X_0004,Marco,Ajello,M,ITA
STU0278,ARRI00750X_0004,Michelangelo,Marzorati,M,ITA
STU0279,ARRI00750X_0004,Piergiuseppe,Ossola,M,ITA
STU0280,ARRI00750X_0005,Pellegrino,Caboto,M,ITA
STU0281,ARRI00750X_0005,Michele,Cherubini,M,ITA
STU0282,ARRI00750X_0005,Telemaco,Albertini,M,ITA
STU0283,ARRI00750X_0005,Giuliano,Petruzzi,M,ITA
STU0284,ARRI00750X_0005,Elladio,Lovato,M,ITA
STU0285,ARRI00750X_0005,Sylvia,Navone,F,ITA
STU0286,ARRI00750X_0005,Santino,Leonardi,M,ITA
STU0287,ARRI00750X_0005,Raffaello,Pininfarina,M,ITA
STU0288,ARRI00750X_0005,Rodolfo,Traetta,M,NON_ITA
STU0289,ARRI00750X_0005,Emma,Rienzo,F,NON_ITA
STU0290,ARRI00750X_0005,Liberto,Maffei,M,NON_ITA
STU0291,ARRI00750X_0005,Annibale,Dossi,M,ITA
STU0292,ARRI00750X_0005,Panfilo,Marsili,M,ITA
STU0293,ARRI00750X_0005,Pierluigi,Volta,M,ITA
STU0294,ARRI00750X_0005,Federico,Musatti,M,ITA
STU0295,ARRI00750X_0005,Baccio,Riccati,M,ITA
STU0296,BORI01402D_0001,Gaspare,Pelli,M,ITA
STU0297,BORI01402D_0001,Nicola,Oscuro,M,NON_ITA
STU0298,BORI01402D_0001,Vincenzo,Panzera,M,ITA
STU0299,BORI01402D_0001,Elladio,Malipiero,M,ITA
STU0300,BORI01402D_0001,Amico,Trupiano,M,ITA
STU0301,BORI01402D_0001,Tonino,Raimondi,M,NON_ITA
STU0302,BORI01402D_0001,Benvenuto,Venditti,M,NON_ITA
STU0303,BORI01402D_0001,Giulio,Scarfoglio,M,ITA
STU0304,BORI01402D_0001,Cesare,Petrucci,M,ITA
STU0305,BORI01402D_0001,Flavio,Bramante,M,ITA
STU0306,BORI01402D_0001,Leopoldo,Costanzi,M,NON_ITA
STU0307,BORI01402D_0001,Pierluigi,Prada,M,ITA
STU0308,BORI01402D_0002,Fiorino,Montalcini,M,ITA
STU0309,BORI01402D_0002,Maurilio,Martinelli,M,ITA
STU0310,BORI01402D_0002,Angelo,Pedrazzini,M,NON_ITA
STU0311,BORI01402D_0002,Liberto,Berrè,M,NON_ITA
STU0312,BORI01402D_0002,Piero,Virgilio,M,ITA
STU0313,BORI01402D_0002,Tiziano,Odescalchi,M,ITA
STU0314,BORI01402D_0002,Amico,Marini,M,ITA
STU0315,BORI01402D_0002,Biagio,Pellico,M,ITA
STU0316,BORI01402D_0002,Fabrizio,Morandini,M,NON_ITA
STU0317,BORI01402D_0002,Elladio,Caracciolo,M,NON_ITA
STU0318,BORI01402D_0002,Fredo,Guidotti,M,ITA
STU0319,BORI01402D_0003,Filippo,Cusano,M,ITA
STU0320,BORI01402D_0003,Luciano,Giannelli,M,NON_ITA
STU0321,BORI01402D_0003,Guido,Malatesta,M,ITA
STU0322,BORI01402D_0003,Dionigi,Milanesi,M,NON_ITA
STU0323,BORI01402D_0003,Agnolo,Giacometti,M,ITA
STU0324,BORI01402D_0003,Adriano,Correr,M,ITA
STU0325,BORI01402D_0003,Stefano,Caboto,M,ITA
STU0326,BORI01402D_0003,Elladio,Vattimo,M,ITA
STU0327,BORI01402D_0003,Pierpaolo,Scarpetta,M,ITA
STU0328,BORI01402D_0003,Galasso,Andreozzi,M,ITA
STU0329,BORI01402D_0003,Leone,Giammusso,M,ITA
STU0330,BORI01402D_0003,Benito,Rizzoli,M,NON_ITA
STU0331,BORI01402D_0003,Pierangelo,Armani,M,NON_ITA
STU0332,BORI01402D_0003,Ivo,Maglio,M,ITA
STU0333,BORI01402D_0003,Guglielmo,Giacometti,M,NON_ITA
STU0334,BORI01402D_0003,Ottone,Matteotti,M,NON_ITA
STU0335,BORI01402D_0003,Calogero,Cuzzocrea,M,ITA
STU0336,BORI01402D_0003,Hugo,Bocca,M,ITA
STU0337,BORI01402D_0003,Dario,Dibiasi,M,ITA
STU0338,BORI01402D_0003,Gioachino,Borgia,M,NON_ITA
STU0339,BORI01402D_0004,Piergiorgio,Proietti,M,NON_ITA
STU0340,BORI01402D_0004,Gino,Russo,M,ITA
STU0341,BORI01402D_0004,Pasqual,Marini,M,NON_ITA
STU0342,BORI01402D_0004,Graziano,Cusano,M,ITA
STU0343,BORI01402D_0004,Santino,Gaito,M,NON_ITA
STU0344,BORI01402D_0004,Napoleone,Bernetti,M,ITA
STU0345,BORI01402D_0004,Elladio,Borromini,M,NON_ITA
STU0346,BORI01402D_0004,Puccio,Navone,M,ITA
STU0347,BORI01402D_0004,Salvi,Trillini,M,ITA
STU0348,BORI01402D_0004,Giorgio,Gremese,M,ITA
STU0349,BORI01402D_0004,Osvaldo,Rossi,M,ITA
STU0350,BORI01402D_0004,Baldassare,Puglisi,M,ITA
STU0351,BORI01402D_0004,Bartolomeo,Pacillo,M,NON_ITA
STU0352,BORI01402D_0004,Ricciotti,Bonatti,M,ITA
STU0353,BORI01402D_0004,Nico,Muratori,M,ITA
STU0354,BORI01402D_0004,Goffredo,Castellitto,M,ITA
STU0355,BORI01402D_0004,Romolo,Bonatti,M,ITA
STU0356,BORI01402D_0004,Gianfranco,Porzio,M,NON_ITA
STU0357,BORI01402D_0004,Biagio,Camanni,M,ITA
STU0358,BORI01402D_0005,Gianni,Roth,M,ITA
STU0359,BORI01402D_0005,Marcello,Medici,M,NON_ITA
STU0360,BORI01402D_0005,Gianfrancesco,Gonzaga,M,ITA
STU0361,BORI01402D_0005,Sebastiano,Polani,M,NON_ITA
STU0362,BORI01402D_0005,Lazzaro,Govoni,M,ITA
STU0363,BORI01402D_0005,Mirco,Barcaccia,M,NON_ITA
STU0364,BORI01402D_0005,Lazzaro,Raurica,M,ITA
STU0365,BORI01402D_0005,Ricciotti,Serlupi,M,ITA
STU0366,BORI01402D_0005,Mirco,Goldstein,M,NON_ITA
STU0367,BORI01402D_0005,Ferdinando,Goldstein,M,ITA
STU0368,BORI01402D_0005,Ruggero,Foscari,M,ITA
STU0369,BORI01402D_0005,Jacopo,Onisto,M,NON_ITA
STU0370,BORI01402D_0005,Nicola,Littizzetto,M,NON_ITA
STU0371,BORI01402D_0005,Gastone,Antonelli,M,ITA
STU0372,BORI01402D_0005,Uberto,Giacometti,M,ITA
STU0373,BORI01402D_0005,Adelmo,Venier,M,ITA
STU0374,BORI01402D_0005,Massimiliano,Guglielmi,M,ITA
STU0375,BORI01402D_0005,Bernardo,Palmisano,M,ITA
STU0376,BORI01402D_0005,Marcantonio,Guglielmi,M,ITA
STU0377,BORI01402D_0006,Mariano,Valentino,M,ITA
STU0378,BORI01402D_0006,Orlando,Dovara,M,ITA
STU0379,BORI01402D_0006,Gianni,Cristoforetti,M,NON_ITA
STU0380,BORI01402D_0006,Rolando,Lettiere,M,ITA
STU0381,BORI01402D_0006,Geronimo,Ciani,M,ITA
STU0382,BORI01402D_0006,Enzio,Inzaghi,M,NON_ITA
STU0383,BORI01402D_0006,Ermanno,Gigli,M,NON_ITA
STU0384,BORI01402D_0006,Martino,Guidone,M,ITA
STU0385,BORI01402D_0006,Pierluigi,Segrè,M,ITA
STU0386,BORI01402D_0006,Orlando,Ubaldi,M,NON_ITA
STU0387,BORI01402D_0006,Panfilo,Renzi,M,ITA
STU0388,BORI01402D_0006,Ansaldo,Filangieri,M,ITA
STU0389,BORI01402D_0007,Benito,Tassoni,M,NON_ITA
STU0390,BORI01402D_0007,Calcedonio,Rossetti,M,ITA
STU0391,BORI01402D_0007,Francesco,Vitturi,M,ITA
STU0392,BORI01402D_0007,Donato,Gradenigo,M,NON_ITA
STU0393,BORI01402D_0007,Fulvio,Ariosto,M,ITA
STU0394,BORI01402D_0007,Salvi,Accardo,M,NON_ITA
STU0395,BORI01402D_0007,Salvatore,Biagi,M,ITA
STU0396,BORI01402D_0007,Sandro,Ceschi,M,ITA
STU0397,BORI01402D_0007,Arnaldo,Baracca,M,NON_ITA
STU0398,BORI01402D_0007,Alessandro,Rienzo,M,ITA
STU0399,BORI01402D_0007,Alessio,Ferrabosco,M,ITA
STU0400,BORI01402D_0007,Ivo,Zito,M,ITA
STU0401,BORI01402D_0008,Silvio,Bulzoni,M,ITA
STU0402,BORI01402D_0008,Alberto,Tutino,M,ITA
STU0403,BORI01402D_0008,Ivo,Bonaventura,M,ITA
STU0404,BORI01402D_0008,Geronimo,Veneziano,M,ITA
STU0405,BORI01402D_0008,Lucio,Goldstein,M,NON_ITA
STU0406,BORI01402D_0008,Elmo,Gritti,M,NON_ITA
STU0407,BORI01402D_0008,Leone,Golgi,M,ITA
STU0408,BORI01402D_0008,Martino,Cavanna,M,NON_ITA
STU0409,BORI01402D_0008,Telemaco,Pergolesi,M,NON_ITA
STU0410,BORI01402D_0008,Jacopo,Santoro,M,ITA
STU0411,BORI01402D_0008,Sandro,Monduzzi,M,ITA
STU0412,BORI01402D_0008,Stefano,Petrucelli,M,ITA
STU0413,BORI01402D_0009,Federigo,Bulzoni,M,ITA
STU0414,BORI01402D_0009,Gianluigi,Tarantini,M,NON_ITA
STU0415,BORI01402D_0009,Amico,Cavalcanti,M,NON_ITA
STU0416,BORI01402D_0009,Mirco,Favata,M,ITA
STU0417,BORI01402D_0009,Piero,Zacchia,M,ITA
STU0418,BORI01402D_0009,Piergiorgio,Ferrata,M,ITA
STU0419,BORI01402D_0009,Pierpaolo,Pasqua,M,ITA
STU0420,BORI01402D_0009,Gianpaolo,Saraceno,M,ITA
