id_classe,id_docente,nome_docente
CL0050,DOC0050,Gianna Cimarosa
CL0050,DOC0063,Piergiorgio Curatoli-Battelli
CL0051,DOC0001,Ranieri Martucci-Pistoletto
CL0051,DOC0078,Griselda Mazzocchi
CL0051,DOC0061,Germana Giusti
CL0052,DOC0002,Diana Canali
CL0052,DOC0087,Romina Bersani-Rocca
CL0052,DOC0023,Luciano Alboni-Rismondo
CL0053,DOC0072,Monica Ortolani
CL0053,DOC0090,Dott. Giulia Ferretti
CL0053,DOC0091,Costantino Valier
CL0054,DOC0098,Bianca Satta
CL0054,DOC0051,Amadeo Acerbi
CL0054,DOC0069,Dino Caccianemico
CL0055,DOC0043,Raimondo Navone
CL0055,DOC0003,Isabella Mezzetta
CL0055,DOC0078,Griselda Mazzocchi
CL0056,DOC0058,Bianca Pace
CL0056,DOC0049,Luisa Solimena-Olivetti
CL0056,DOC0066,Dott. Fiorino Cannizzaro
CL0057,DOC0095,Ennio Leonetti
CL0057,DOC0030,Simonetta Troisi
CL0057,DOC0065,Santino Migliaccio
CL0058,DOC0091,Costantino Valier
CL0058,DOC0002,Diana Canali
CL0058,DOC0030,Simonetta Troisi
CL0059,DOC0079,Lando Federici
CL0059,DOC0098,Bianca Satta
CL0059,DOC0016,Fortunata Mengolo-Tresoldi
CL0060,DOC0031,Adamo Baglioni
CL0060,DOC0095,Ennio Leonetti
CL0060,DOC0055,Imelda Scamarcio
CL0061,DOC0007,Elena Alighieri
CL0061,DOC0083,Augusto Alfonsi-Saracino
CL0061,DOC0032,Annamaria Trevisani
CL0062,DOC0069,Dino Caccianemico
CL0062,DOC0015,Amanda Cicala
CL0062,DOC0001,Ranieri Martucci-Pistoletto
CL0063,DOC0045,Claudia Filangieri
CL0063,DOC0081,Toni Trincavelli
CL0063,DOC0078,Griselda Mazzocchi
CL0064,DOC0042,Luciana Farinelli
CL0064,DOC0011,Bruno Cabrini
CL0064,DOC0091,Costantino Valier
CL0065,DOC0013,Elisa Lanfranchi
CL0065,DOC0063,Piergiorgio Curatoli-Battelli
CL0065,DOC0003,Isabella Mezzetta
CL0066,DOC0010,Fortunata Ortese
CL0066,DOC0063,Piergiorgio Curatoli-Battelli
CL0066,DOC0081,Toni Trincavelli
CL0067,DOC0027,Gelsomina Antonioni
CL0067,DOC0088,Carla Gasperi
CL0067,DOC0054,Cipriano Segni
CL0068,DOC0041,Mariano Redi
CL0068,DOC0082,Dott. Leonardo Armellini
CL0068,DOC0058,Bianca Pace
CL0069,DOC0062,Serena Gradenigo-Pareto
CL0069,DOC0049,Luisa Solimena-Olivetti
CL0069,DOC0061,Germana Giusti
CL0070,DOC0085,Federico Capuana
CL0070,DOC0024,Ludovica Tremonti
CL0070,DOC0074,Sig.ra Imelda Morricone
CL0071,DOC0065,Santino Migliaccio
CL0071,DOC0100,Loredana Bocelli
CL0071,DOC0085,Federico Capuana
CL0072,DOC0099,Ilaria Leone
CL0072,DOC0013,Elisa Lanfranchi
CL0072,DOC0030,Simonetta Troisi
CL0073,DOC0064,Durante Fischetti-Trentini
CL0073,DOC0044,Bianca Pagliaro
CL0073,DOC0007,Elena Alighieri
CL0074,DOC0067,Caterina Boccaccio
CL0074,DOC0068,Ramona Giacconi
CL0074,DOC0075,Licia Gatto
CL0075,DOC0055,Imelda Scamarcio
CL0075,DOC0037,Ansaldo Calvo
CL0075,DOC0042,Luciana Farinelli
CL0076,DOC0041,Mariano Redi
CL0076,DOC0097,Angelina Bataglia
CL0076,DOC0023,Luciano Alboni-Rismondo
CL0077,DOC0006,Martino Gaggini
CL0077,DOC0095,Ennio Leonetti
CL0077,DOC0094,Dott. Chiara Panzera
CL0078,DOC0056,Ermenegildo Boccaccio
CL0078,DOC0067,Caterina Boccaccio
CL0078,DOC0036,Gaspare Vecellio
CL0079,DOC0020,Sig.ra Paulina Argentero
CL0079,DOC0036,Gaspare Vecellio
CL0079,DOC0078,Griselda Mazzocchi
CL0080,DOC0016,Fortunata Mengolo-Tresoldi
CL0080,DOC0084,Eraldo Leone
CL0080,DOC0026,Rolando Bulzoni-Mazzanti
CL0081,DOC0064,Durante Fischetti-Trentini
CL0081,DOC0059,Atenulf Pozzecco
CL0081,DOC0073,Santino Campise
CL0082,DOC0002,Diana Canali
CL0082,DOC0096,Elladio Migliaccio
CL0082,DOC0068,Ramona Giacconi
CL0083,DOC0029,Tonia Nosiglia
CL0083,DOC0067,Caterina Boccaccio
CL0083,DOC0014,Elena Gargallo-Borroni
CL0084,DOC0094,Dott. Chiara Panzera
CL0084,DOC0078,Griselda Mazzocchi
CL0084,DOC0077,Hugo Barracco
CL0085,DOC0031,Adamo Baglioni
CL0085,DOC0086,Gioele Lippomano-Brancaccio
CL0085,DOC0064,Durante Fischetti-Trentini
CL0086,DOC0056,Ermenegildo Boccaccio
CL0086,DOC0054,Cipriano Segni
CL0086,DOC0008,Dott. Gemma Borromini
CL0087,DOC0014,Elena Gargallo-Borroni
CL0087,DOC0099,Ilaria Leone
CL0087,DOC0036,Gaspare Vecellio
CL0088,DOC0094,Dott. Chiara Panzera
CL0088,DOC0036,Gaspare Vecellio
CL0088,DOC0033,Sandro Versace-Battaglia
CL0089,DOC0026,Rolando Bulzoni-Mazzanti
CL0089,DOC0083,Augusto Alfonsi-Saracino
CL0089,DOC0025,Arnulfo Greggio
CL0090,DOC0078,Griselda Mazzocchi
CL0090,DOC0016,Fortunata Mengolo-Tresoldi
CL0090,DOC0038,Annamaria Brichese-Marinetti
CL0091,DOC0008,Dott. Gemma Borromini
CL0091,DOC0095,Ennio Leonetti
CL0091,DOC0025,Arnulfo Greggio
CL0092,DOC0065,Santino Migliaccio
CL0092,DOC0037,Ansaldo Calvo
CL0092,DOC0032,Annamaria Trevisani
CL0093,DOC0055,Imelda Scamarcio
CL0093,DOC0090,Dott. Giulia Ferretti
CL0093,DOC0002,Diana Canali
CL0094,DOC0034,Bianca Sauro
CL0094,DOC0027,Gelsomina Antonioni
CL0094,DOC0019,Marissa Modugno
CL0095,DOC0004,Etta Cassarà
CL0095,DOC0004,Etta Cassarà
CL0095,DOC0084,Eraldo Leone
CL0096,DOC0064,Durante Fischetti-Trentini
CL0096,DOC0078,Griselda Mazzocchi
CL0096,DOC0029,Tonia Nosiglia
CL0096,DOC0089,Marcella Broschi
CL0096,DOC0037,Ansaldo Calvo
CL0096,DOC0005,Valerio Gaito
CL0097,DOC0044,Bianca Pagliaro
CL0097,DOC0086,Gioele Lippomano-Brancaccio
CL0097,DOC0021,Annunziata Malenchini-Caruso
CL0097,DOC0089,Marcella Broschi
CL0097,DOC0061,Germana Giusti
CL0097,DOC0058,Bianca Pace
CL0098,DOC0066,Dott. Fiorino Cannizzaro
CL0098,DOC0040,Donatella Pace
CL0098,DOC0038,Annamaria Brichese-Marinetti
CL0098,DOC0084,Eraldo Leone
CL0098,DOC0091,Costantino Valier
CL0098,DOC0052,Sole Bragaglia
CL0099,DOC0031,Adamo Baglioni
CL0099,DOC0040,Donatella Pace
CL0099,DOC0086,Gioele Lippomano-Brancaccio
CL0099,DOC0042,Luciana Farinelli
CL0099,DOC0027,Gelsomina Antonioni
CL0099,DOC0031,Adamo Baglioni
CL0100,DOC0020,Sig.ra Paulina Argentero
CL0100,DOC0091,Costantino Valier
CL0100,DOC0020,Sig.ra Paulina Argentero
CL0100,DOC0005,Valerio Gaito
CL0100,DOC0011,Bruno Cabrini
CL0100,DOC0008,Dott. Gemma Borromini
CL0101,DOC0016,Fortunata Mengolo-Tresoldi
CL0101,DOC0019,Marissa Modugno
CL0101,DOC0014,Elena Gargallo-Borroni
CL0101,DOC0058,Bianca Pace
CL0101,DOC0017,Clelia Morandi
CL0101,DOC0020,Sig.ra Paulina Argentero
CL0102,DOC0010,Fortunata Ortese
CL0102,DOC0037,Ansaldo Calvo
CL0102,DOC0099,Ilaria Leone
CL0102,DOC0043,Raimondo Navone
CL0102,DOC0089,Marcella Broschi
CL0102,DOC0041,Mariano Redi
CL0103,DOC0085,Federico Capuana
CL0103,DOC0023,Luciano Alboni-Rismondo
CL0103,DOC0059,Atenulf Pozzecco
CL0103,DOC0084,Eraldo Leone
CL0103,DOC0086,Gioele Lippomano-Brancaccio
CL0103,DOC0039,Cecilia Correr
CL0104,DOC0014,Elena Gargallo-Borroni
CL0104,DOC0020,Sig.ra Paulina Argentero
CL0104,DOC0098,Bianca Satta
CL0104,DOC0037,Ansaldo Calvo
CL0104,DOC0023,Luciano Alboni-Rismondo
CL0104,DOC0013,Elisa Lanfranchi
CL0105,DOC0037,Ansaldo Calvo
CL0105,DOC0003,Isabella Mezzetta
CL0105,DOC0072,Monica Ortolani
CL0105,DOC0088,Carla Gasperi
CL0105,DOC0051,Amadeo Acerbi
CL0105,DOC0081,Toni Trincavelli
CL0106,DOC0018,Sig. Domenico Iannotti
CL0106,DOC0044,Bianca Pagliaro
CL0106,DOC0002,Diana Canali
CL0106,DOC0074,Sig.ra Imelda Morricone
CL0106,DOC0086,Gioele Lippomano-Brancaccio
CL0106,DOC0042,Luciana Farinelli
CL0107,DOC0020,Sig.ra Paulina Argentero
CL0107,DOC0077,Hugo Barracco
CL0107,DOC0037,Ansaldo Calvo
CL0107,DOC0049,Luisa Solimena-Olivetti
CL0107,DOC0017,Clelia Morandi
CL0107,DOC0003,Isabella Mezzetta
CL0108,DOC0025,Arnulfo Greggio
CL0108,DOC0090,Dott. Giulia Ferretti
CL0108,DOC0047,Valerio Modugno
CL0108,DOC0045,Claudia Filangieri
CL0108,DOC0093,Gianluigi Impastato
CL0108,DOC0049,Luisa Solimena-Olivetti
CL0109,DOC0095,Ennio Leonetti
CL0109,DOC0095,Ennio Leonetti
CL0109,DOC0084,Eraldo Leone
CL0109,DOC0001,Ranieri Martucci-Pistoletto
CL0109,DOC0028,Melina Prati
CL0109,DOC0092,Marco Tornatore
CL0110,DOC0019,Marissa Modugno
CL0110,DOC0022,Clelia Notarbartolo
CL0110,DOC0020,Sig.ra Paulina Argentero
CL0110,DOC0082,Dott. Leonardo Armellini
CL0110,DOC0089,Marcella Broschi
CL0110,DOC0099,Ilaria Leone
CL0111,DOC0030,Simonetta Troisi
CL0111,DOC0090,Dott. Giulia Ferretti
CL0111,DOC0079,Lando Federici
CL0111,DOC0025,Arnulfo Greggio
CL0111,DOC0067,Caterina Boccaccio
CL0111,DOC0078,Griselda Mazzocchi
CL0112,DOC0023,Luciano Alboni-Rismondo
CL0112,DOC0001,Ranieri Martucci-Pistoletto
CL0112,DOC0037,Ansaldo Calvo
CL0112,DOC0047,Valerio Modugno
CL0112,DOC0061,Germana Giusti
CL0112,DOC0089,Marcella Broschi
CL0113,DOC0029,Tonia Nosiglia
CL0113,DOC0046,Natalia Sgarbi
CL0113,DOC0029,Tonia Nosiglia
CL0113,DOC0017,Clelia Morandi
CL0113,DOC0030,Simonetta Troisi
CL0113,DOC0055,Imelda Scamarcio
CL0114,DOC0011,Bruno Cabrini
CL0114,DOC0058,Bianca Pace
CL0114,DOC0009,Dott. Giada Mazzocchi
CL0114,DOC0008,Dott. Gemma Borromini
CL0114,DOC0044,Bianca Pagliaro
CL0114,DOC0007,Elena Alighieri
CL0115,DOC0082,Dott. Leonardo Armellini
CL0115,DOC0007,Elena Alighieri
CL0115,DOC0047,Valerio Modugno
CL0115,DOC0040,Donatella Pace
CL0115,DOC0077,Hugo Barracco
CL0115,DOC0012,Barbara Granatelli
CL0116,DOC0058,Bianca Pace
CL0116,DOC0059,Atenulf Pozzecco
CL0116,DOC0040,Donatella Pace
CL0116,DOC0035,Melina Monicelli
CL0116,DOC0061,Germana Giusti
CL0116,DOC0030,Simonetta Troisi
CL0117,DOC0082,Dott. Leonardo Armellini
CL0117,DOC0028,Melina Prati
CL0117,DOC0046,Natalia Sgarbi
CL0117,DOC0099,Ilaria Leone
CL0117,DOC0019,Marissa Modugno
CL0117,DOC0039,Cecilia Correr
CL0118,DOC0068,Ramona Giacconi
CL0118,DOC0094,Dott. Chiara Panzera
CL0118,DOC0096,Elladio Migliaccio
CL0118,DOC0094,Dott. Chiara Panzera
CL0118,DOC0038,Annamaria Brichese-Marinetti
CL0118,DOC0015,Amanda Cicala
CL0119,DOC0075,Licia Gatto
CL0119,DOC0008,Dott. Gemma Borromini
CL0119,DOC0057,Elladio Cattaneo
CL0120,DOC0097,Angelina Bataglia
CL0120,DOC0077,Hugo Barracco
CL0120,DOC0051,Amadeo Acerbi
CL0121,DOC0079,Lando Federici
CL0121,DOC0077,Hugo Barracco
CL0121,DOC0079,Lando Federici
CL0122,DOC0074,Sig.ra Imelda Morricone
CL0122,DOC0054,Cipriano Segni
CL0122,DOC0027,Gelsomina Antonioni
CL0123,DOC0088,Carla Gasperi
CL0123,DOC0022,Clelia Notarbartolo
CL0123,DOC0090,Dott. Giulia Ferretti
CL0124,DOC0089,Marcella Broschi
CL0124,DOC0080,Giacomo Zito
CL0124,DOC0065,Santino Migliaccio
CL0125,DOC0052,Sole Bragaglia
CL0125,DOC0004,Etta Cassarà
CL0125,DOC0095,Ennio Leonetti
CL0126,DOC0082,Dott. Leonardo Armellini
CL0126,DOC0042,Luciana Farinelli
CL0126,DOC0003,Isabella Mezzetta
CL0127,DOC0082,Dott. Leonardo Armellini
CL0127,DOC0039,Cecilia Correr
CL0127,DOC0074,Sig.ra Imelda Morricone
CL0128,DOC0032,Annamaria Trevisani
CL0128,DOC0028,Melina Prati
CL0128,DOC0087,Romina Bersani-Rocca
CL0129,DOC0024,Ludovica Tremonti
CL0129,DOC0100,Loredana Bocelli
CL0129,DOC0098,Bianca Satta
CL0130,DOC0081,Toni Trincavelli
CL0130,DOC0093,Gianluigi Impastato
CL0130,DOC0100,Loredana Bocelli
CL0131,DOC0017,Clelia Morandi
CL0131,DOC0064,Durante Fischetti-Trentini
CL0131,DOC0058,Bianca Pace
CL0132,DOC0060,Elena Toselli-Ponti
CL0132,DOC0028,Melina Prati
CL0132,DOC0027,Gelsomina Antonioni
CL0133,DOC0054,Cipriano Segni
CL0133,DOC0093,Gianluigi Impastato
CL0133,DOC0065,Santino Migliaccio
CL0134,DOC0018,Sig. Domenico Iannotti
CL0134,DOC0036,Gaspare Vecellio
CL0134,DOC0005,Valerio Gaito
CL0135,DOC0041,Mariano Redi
CL0135,DOC0030,Simonetta Troisi
CL0135,DOC0076,Sergius Micca
CL0136,DOC0024,Ludovica Tremonti
CL0136,DOC0086,Gioele Lippomano-Brancaccio
CL0136,DOC0023,Luciano Alboni-Rismondo
CL0137,DOC0048,Patrizio Platini
CL0137,DOC0049,Luisa Solimena-Olivetti
CL0137,DOC0018,Sig. Domenico Iannotti
CL0138,DOC0042,Luciana Farinelli
CL0138,DOC0045,Claudia Filangieri
CL0138,DOC0064,Durante Fischetti-Trentini
CL0139,DOC0076,Sergius Micca
CL0139,DOC0074,Sig.ra Imelda Morricone
CL0139,DOC0040,Donatella Pace
CL0140,DOC0099,Ilaria Leone
CL0140,DOC0003,Isabella Mezzetta
CL0140,DOC0070,Piergiorgio Scaramucci
CL0141,DOC0024,Ludovica Tremonti
CL0141,DOC0074,Sig.ra Imelda Morricone
CL0141,DOC0095,Ennio Leonetti
CL0142,DOC0054,Cipriano Segni
CL0142,DOC0078,Griselda Mazzocchi
CL0142,DOC0056,Ermenegildo Boccaccio
CL0143,DOC0061,Germana Giusti
CL0143,DOC0061,Germana Giusti
CL0143,DOC0059,Atenulf Pozzecco
CL0144,DOC0097,Angelina Bataglia
CL0144,DOC0015,Amanda Cicala
CL0144,DOC0016,Fortunata Mengolo-Tresoldi
CL0145,DOC0038,Annamaria Brichese-Marinetti
CL0145,DOC0018,Sig. Domenico Iannotti
CL0145,DOC0041,Mariano Redi
CL0146,DOC0089,Marcella Broschi
CL0146,DOC0094,Dott. Chiara Panzera
CL0146,DOC0062,Serena Gradenigo-Pareto
CL0147,DOC0005,Valerio Gaito
CL0147,DOC0098,Bianca Satta
CL0147,DOC0054,Cipriano Segni
CL0148,DOC0061,Germana Giusti
CL0148,DOC0024,Ludovica Tremonti
CL0148,DOC0070,Piergiorgio Scaramucci
CL0149,DOC0054,Cipriano Segni
CL0149,DOC0059,Atenulf Pozzecco
CL0149,DOC0026,Rolando Bulzoni-Mazzanti
CL0150,DOC0057,Elladio Cattaneo
CL0150,DOC0033,Sandro Versace-Battaglia
CL0150,DOC0050,Gianna Cimarosa
CL0151,DOC0018,Sig. Domenico Iannotti
CL0151,DOC0012,Barbara Granatelli
CL0151,DOC0086,Gioele Lippomano-Brancaccio
CL0152,DOC0061,Germana Giusti
CL0152,DOC0048,Patrizio Platini
CL0152,DOC0055,Imelda Scamarcio
CL0153,DOC0069,Dino Caccianemico
CL0153,DOC0041,Mariano Redi
CL0153,DOC0090,Dott. Giulia Ferretti
CL0154,DOC0066,Dott. Fiorino Cannizzaro
CL0154,DOC0079,Lando Federici
CL0154,DOC0071,Ramona Piazzi
CL0155,DOC0063,Piergiorgio Curatoli-Battelli
CL0155,DOC0064,Durante Fischetti-Trentini
CL0155,DOC0034,Bianca Sauro
CL0156,DOC0099,Ilaria Leone
CL0156,DOC0048,Patrizio Platini
CL0156,DOC0079,Lando Federici
CL0157,DOC0088,Carla Gasperi
CL0157,DOC0037,Ansaldo Calvo
CL0157,DOC0084,Eraldo Leone
CL0158,DOC0037,Ansaldo Calvo
CL0158,DOC0065,Santino Migliaccio
CL0158,DOC0092,Marco Tornatore
CL0159,DOC0024,Ludovica Tremonti
CL0159,DOC0086,Gioele Lippomano-Brancaccio
CL0159,DOC0054,Cipriano Segni
CL0160,DOC0094,Dott. Chiara Panzera
CL0160,DOC0061,Germana Giusti
CL0160,DOC0076,Sergius Micca
CL0161,DOC0091,Costantino Valier
CL0161,DOC0100,Loredana Bocelli
CL0161,DOC0009,Dott. Giada Mazzocchi
CL0162,DOC0065,Santino Migliaccio
CL0162,DOC0098,Bianca Satta
CL0162,DOC0067,Caterina Boccaccio
CL0163,DOC0022,Clelia Notarbartolo
CL0163,DOC0097,Angelina Bataglia
CL0163,DOC0034,Bianca Sauro
CL0164,DOC0025,Arnulfo Greggio
CL0164,DOC0082,Dott. Leonardo Armellini
CL0164,DOC0040,Donatella Pace
CL0165,DOC0081,Toni Trincavelli
CL0165,DOC0044,Bianca Pagliaro
CL0165,DOC0039,Cecilia Correr
CL0166,DOC0060,Elena Toselli-Ponti
CL0166,DOC0067,Caterina Boccaccio
CL0166,DOC0064,Durante Fischetti-Trentini
CL0167,DOC0078,Griselda Mazzocchi
CL0167,DOC0049,Luisa Solimena-Olivetti
CL0167,DOC0047,Valerio Modugno
CL0168,DOC0015,Amanda Cicala
CL0168,DOC0044,Bianca Pagliaro
CL0168,DOC0052,Sole Bragaglia
CL0169,DOC0009,Dott. Giada Mazzocchi
CL0169,DOC0053,Victoria Balbi
CL0169,DOC0060,Elena Toselli-Ponti
CL0170,DOC0036,Gaspare Vecellio
CL0170,DOC0002,Diana Canali
CL0170,DOC0032,Annamaria Trevisani
CL0171,DOC0029,Tonia Nosiglia
CL0171,DOC0074,Sig.ra Imelda Morricone
CL0171,DOC0086,Gioele Lippomano-Brancaccio
CL0172,DOC0092,Marco Tornatore
CL0172,DOC0074,Sig.ra Imelda Morricone
CL0172,DOC0094,Dott. Chiara Panzera
CL0173,DOC0085,Federico Capuana
CL0173,DOC0023,Luciano Alboni-Rismondo
CL0173,DOC0044,Bianca Pagliaro
CL0174,DOC0069,Dino Caccianemico
CL0174,DOC0020,Sig.ra Paulina Argentero
CL0174,DOC0082,Dott. Leonardo Armellini
CL0175,DOC0059,Atenulf Pozzecco
CL0175,DOC0014,Elena Gargallo-Borroni
CL0175,DOC0023,Luciano Alboni-Rismondo
CL0176,DOC0009,Dott. Giada Mazzocchi
CL0176,DOC0014,Elena Gargallo-Borroni
CL0176,DOC0017,Clelia Morandi
CL0177,DOC0010,Fortunata Ortese
CL0177,DOC0027,Gelsomina Antonioni
CL0177,DOC0070,Piergiorgio Scaramucci
CL0178,DOC0002,Diana Canali
CL0178,DOC0063,Piergiorgio Curatoli-Battelli
CL0178,DOC0070,Piergiorgio Scaramucci
CL0179,DOC0072,Monica Ortolani
CL0179,DOC0063,Piergiorgio Curatoli-Battelli
CL0179,DOC0070,Piergiorgio Scaramucci
CL0180,DOC0051,Amadeo Acerbi
CL0180,DOC0054,Cipriano Segni
CL0180,DOC0010,Fortunata Ortese
CL0181,DOC0090,Dott. Giulia Ferretti
CL0181,DOC0039,Cecilia Correr
CL0181,DOC0045,Claudia Filangieri
CL0182,DOC0096,Elladio Migliaccio
CL0182,DOC0061,Germana Giusti
CL0182,DOC0002,Diana Canali
CL0183,DOC0076,Sergius Micca
CL0183,DOC0003,Isabella Mezzetta
CL0183,DOC0058,Bianca Pace
CL0184,DOC0032,Annamaria Trevisani
CL0184,DOC0063,Piergiorgio Curatoli-Battelli
CL0184,DOC0067,Caterina Boccaccio
CL0185,DOC0068,Ramona Giacconi
CL0185,DOC0081,Toni Trincavelli
CL0185,DOC0066,Dott. Fiorino Cannizzaro
CL0186,DOC0035,Melina Monicelli
CL0186,DOC0055,Imelda Scamarcio
CL0186,DOC0073,Santino Campise
CL0187,DOC0034,Bianca Sauro
