id_studente,id_classe,nome,cognome,genere,cittadinanza
STU00082,CL0010,Pina,Valguarnera,F,ITA
STU00083,CL0010,Federigo,Marazzi,M,ITA
STU00084,CL0010,Carolina,Samele,F,NON_ITA
STU00085,CL0010,Antonietta,Tuzzolino,F,ITA
STU00086,CL0010,Gianfrancesco,Bazzi,M,ITA
STU00087,CL0010,Ezio,Gentili,M,ITA
STU00088,CL0011,Elladio,Mengolo,M,ITA
STU00089,CL0011,Toni,Montalcini,M,ITA
STU00090,CL0011,Tatiana,Schiaparelli,F,ITA
STU00091,CL0011,Flavio,Lussu,M,ITA
STU00092,CL0011,Susanna,Balla,F,ITA
STU00093,CL0011,Arturo,Antonetti,M,ITA
STU00094,CL0011,Ricciotti,Serlupi,M,ITA
STU00095,CL0011,Alderano,Marenzio,M,ITA
STU00096,CL0012,Silvio,Bosio,M,ITA
STU00097,CL0012,Piermaria,Zabarella,M,ITA
STU00098,CL0012,Etta,Cavanna,F,ITA
STU00099,CL0012,Martino,Carnera,M,ITA
STU00100,CL0012,Maria,Navarria,F,ITA
STU00101,CL0012,Pierpaolo,Gadda,M,ITA
STU00102,CL0012,Irma,Montessori,F,ITA
STU00103,CL0012,Jacopo,Crisafulli,M,ITA
STU00104,CL0013,Mariano,Rossellini,M,ITA
STU00105,CL0013,Vito,Leopardi,M,NON_ITA
STU00106,CL0013,Olga,Pavarotti,F,ITA
STU00107,CL0013,Fedele,Mozart,M,ITA
STU00108,CL0013,Angelina,Simeoni,F,ITA
STU00109,CL0013,Giosuè,Sabatini,M,ITA
STU00110,CL0013,Cecilia,Legnante,F,ITA
STU00111,CL0013,Berenice,Monteverdi,F,ITA
STU00112,CL0013,Micheletto,Sollima,M,ITA
STU00113,CL0014,Nico,Notarbartolo,M,NON_ITA
STU00114,CL0014,Giada,Castiglione,F,ITA
STU00115,CL0014,Adele,Polani,F,ITA
STU00116,CL0014,Durante,Gabba,M,ITA
STU00117,CL0014,Valerio,Babato,M,ITA
STU00118,CL0014,Uberto,Nadi,M,ITA
STU00119,CL0014,Gabriella,Cilibrasi,F,ITA
STU00120,CL0014,Bartolomeo,Ruggieri,M,ITA
STU00121,CL0014,Fulvio,Casaleggio,M,ITA
STU00122,CL0014,Fortunata,Pedersoli,F,NON_ITA
STU00123,CL0015,Virginia,Gori,F,ITA
STU00124,CL0015,Victoria,Cilea,F,ITA
STU00125,CL0015,Susanna,Cerquiglini,F,ITA
STU00126,CL0015,Lisa,Murialdo,F,ITA
STU00127,CL0015,Erika,Sandi,F,ITA
STU00128,CL0015,Rosa,Moccia,F,ITA
STU00129,CL0015,Tatiana,Turci,F,ITA
STU00130,CL0015,Elena,Dovara,F,ITA
STU00131,CL0016,Natalia,Bernardini,F,ITA
STU00132,CL0016,Bettina,Florio,F,NON_ITA
STU00133,CL0016,Morena,Tacchini,F,ITA
STU00134,CL0016,Rita,Modiano,F,ITA
STU00135,CL0016,Antonietta,Sagredo,F,ITA
STU00136,CL0016,Fernanda,Catenazzi,F,ITA
STU00137,CL0016,Sophia,Silvestri,F,ITA
STU00138,CL0016,Letizia,Mortati,F,ITA
STU00139,CL0016,Rossana,Vespucci,F,ITA
STU00140,CL0016,Tina,Virgilio,F,ITA
STU00141,CL0017,Eleanora,Sgarbi,F,NON_ITA
STU00142,CL0017,Carolina,Cafarchia,F,ITA
STU00143,CL0017,Vittoria,Pascarella,F,ITA
STU00144,CL0017,Iolanda,Gravina,F,ITA
STU00145,CL0017,Clelia,Naccari,F,ITA
STU00146,CL0017,Tina,Liguori,F,NON_ITA
STU00147,CL0017,Valentina,Tosto,F,ITA
STU00148,CL0018,Severino,Bulzoni,M,ITA
STU00149,CL0018,Fausto,Cerquiglini,M,ITA
STU00150,CL0018,Maria,Spinola,F,ITA
STU00151,CL0018,Pierluigi,Civaschi,M,ITA
STU00152,CL0018,Nicoletta,Randazzo,F,ITA
STU00153,CL0018,Roberta,Curiel,F,ITA
STU00154,CL0018,Fiamma,Tornatore,F,ITA
STU00155,CL0018,Veronica,Paolini,F,ITA
STU00156,CL0019,Chiara,Carocci,F,ITA
STU00157,CL0019,Angelica,Caffarelli,F,ITA
STU00158,CL0019,Annunziata,Vismara,F,ITA
STU00159,CL0019,Sophia,Storladi,F,ITA
STU00160,CL0019,Marisa,Borghese,F,NON_ITA
STU00161,CL0019,Adele,Tartaglia,F,ITA
STU00162,CL0019,Giuseppina,Giolitti,F,ITA
STU00163,CL0020,Iolanda,Petrucelli,F,ITA
STU00164,CL0020,Erika,Praga,F,ITA
STU00165,CL0020,Giuliana,Pometta,F,ITA
STU00166,CL0020,Osvaldo,Longhena,M,ITA
STU00167,CL0020,Etta,Santi,F,ITA
STU00168,CL0020,Aurora,Querini,F,ITA
STU00169,CL0020,Luciana,Morpurgo,F,ITA
STU00170,CL0021,Rossana,Liverotti,F,ITA
STU00171,CL0021,Giuseppina,Tomaselli,F,ITA
STU00172,CL0021,Ivan,Giulietti,M,ITA
STU00173,CL0021,Lilla,Borzomì,F,ITA
STU00174,CL0021,Melina,Cugia,F,ITA
STU00175,CL0021,Alberico,Torricelli,M,NON_ITA
STU00176,CL0021,Victoria,Contarini,F,ITA
STU00177,CL0021,Etta,Salata,F,ITA
STU00178,CL0022,Rosina,Ceci,F,ITA
STU00179,CL0022,Gino,Foa,M,ITA
STU00180,CL0022,Fiorenzo,Zanzi,M,ITA
STU00181,CL0022,Imelda,Malpighi,F,ITA
STU00182,CL0022,Antonietta,Giacometti,F,ITA
STU00183,CL0022,Gianfranco,Manunta,M,NON_ITA
STU00184,CL0022,Domenico,Gozzano,M,NON_ITA
STU00185,CL0022,Caterina,Taccola,F,ITA
STU00186,CL0022,Vincenzo,Nonis,M,ITA
STU00187,CL0022,Fedele,Piacentini,M,ITA
STU00188,CL0023,Annamaria,Sgalambro,F,ITA
STU00189,CL0023,Maurilio,Tasca,M,ITA
STU00190,CL0023,Cristina,Vercelloni,F,ITA
STU00191,CL0023,Stefani,Verdone,F,ITA
STU00192,CL0023,Veronica,Mondadori,F,ITA
STU00193,CL0023,Sandro,Stefanelli,M,ITA
STU00194,CL0023,Giuliana,Mercantini,F,ITA
STU00195,CL0023,Barbara,Nicolucci,F,ITA
STU00196,CL0023,Tina,Rossellini,F,ITA
STU00197,CL0023,Fedele,Maggioli,M,ITA
STU00198,CL0024,Lucia,Riccati,F,NON_ITA
STU00199,CL0024,Amleto,Nitto,M,ITA
STU00200,CL0024,Gianluca,Balla,M,ITA
STU00201,CL0024,Angelica,Galuppi,F,ITA
STU00202,CL0024,Lucia,Amato,F,ITA
STU00203,CL0024,Martino,Marangoni,M,ITA
STU00204,CL0024,Lolita,Panzera,F,ITA
STU00205,CL0025,Silvia,Alonzi,F,ITA
STU00206,CL0025,Antonio,Sonnino,M,ITA
STU00207,CL0025,Romeo,Barberini,M,NON_ITA
STU00208,CL0025,Raffaella,Crisafulli,F,NON_ITA
STU00209,CL0025,Annalisa,Martinelli,F,ITA
STU00210,CL0025,Nedda,Bruno,F,ITA
STU00211,CL0025,Vittoria,Procacci,F,ITA
STU00212,CL0025,Daria,Mezzetta,F,ITA
STU00213,CL0025,Federigo,Luna,M,NON_ITA
STU00214,CL0025,Calogero,Cicala,M,ITA
STU00215,CL0026,Marisa,Columbo,F,ITA
STU00216,CL0026,Baccio,Mastroianni,M,NON_ITA
STU00217,CL0026,Baccio,Bembo,M,ITA
STU00218,CL0026,Angelica,Lussu,F,ITA
STU00219,CL0026,Cassandra,Cagnin,F,ITA
STU00220,CL0026,Pellegrino,Morlacchi,M,ITA
STU00221,CL0026,Olga,Guidone,F,ITA
STU00222,CL0026,Allegra,Salvemini,F,ITA
STU00223,CL0027,Fabia,Zaguri,F,ITA
STU00224,CL0027,Bianca,Barozzi,F,ITA
STU00225,CL0027,Fabio,Paoletti,M,ITA
STU00226,CL0027,Romeo,Balla,M,ITA
STU00227,CL0027,Leopoldo,Falcone,M,ITA
STU00228,CL0027,Gemma,Soderini,F,ITA
STU00229,CL0027,Livia,Lercari,F,ITA
STU00230,CL0027,Ubaldo,Ossani,M,ITA
STU00231,CL0027,Marissa,Argurio,F,NON_ITA
STU00232,CL0028,Sebastiano,Romagnoli,M,ITA
STU00233,CL0028,Filippo,Trevisan,M,ITA
STU00234,CL0028,Martino,Bellini,M,ITA
STU00235,CL0028,Ricciotti,Gussoni,M,ITA
STU00236,CL0028,Aldo,Condoleo,M,ITA
STU00237,CL0028,Fiorenzo,Bellini,M,ITA
STU00238,CL0028,Donatello,Alonzi,M,ITA
STU00239,CL0029,Gastone,Jovinelli,M,ITA
STU00240,CL0029,Uberto,Strangio,M,NON_ITA
STU00241,CL0029,Amadeo,Favata,M,ITA
STU00242,CL0029,Toni,Babati,M,NON_ITA
STU00243,CL0029,Cesare,Andreozzi,M,ITA
STU00244,CL0029,Sergius,Nicolucci,M,ITA
STU00245,CL0029,Panfilo,Pelli,M,ITA
STU00246,CL0030,Pellegrino,Finotto,M,ITA
STU00247,CL0030,Geronimo,Offredi,M,ITA
STU00248,CL0030,Alina,Cundari,F,ITA
STU00249,CL0030,Federigo,Lombardi,M,ITA
STU00250,CL0030,Alderano,Tresoldi,M,NON_ITA
STU00251,CL0030,Carlo,Bruno,M,ITA
STU00252,CL0030,Hugo,Agazzi,M,ITA
STU00253,CL0030,Alberto,Argento,M,NON_ITA
STU00254,CL0030,Gianpietro,Barozzi,M,ITA
STU00255,CL0030,Delfino,Travaglio,M,NON_ITA
STU00256,CL0031,Elmo,Schiavo,M,ITA
STU00257,CL0031,Elladio,Rocca,M,ITA
STU00258,CL0031,Mario,Piacentini,M,ITA
STU00259,CL0031,Costanzo,Petralli,M,ITA
STU00260,CL0031,Leopoldo,Trombetta,M,ITA
STU00261,CL0031,Claudio,Cattaneo,M,ITA
STU00262,CL0031,Roman,Ceravolo,M,ITA
STU00263,CL0031,Donato,Cagnin,M,ITA
STU00264,CL0031,Ansaldo,Cugia,M,ITA
STU00265,CL0032,Aldo,Opizzi,M,ITA
STU00266,CL0032,Raffaele,Grossi,M,ITA
STU00267,CL0032,Elisa,Borromeo,F,ITA
STU00268,CL0032,Matteo,Villadicani,M,ITA
STU00269,CL0032,Dario,Cociarelli,M,ITA
STU00270,CL0032,Edoardo,Torlonia,M,ITA
STU00271,CL0032,Vittorio,Saffi,M,ITA
STU00272,CL0033,Umberto,Zamengo,M,ITA
STU00273,CL0033,Ermes,Ferrucci,M,ITA
STU00274,CL0033,Laureano,Pigafetta,M,ITA
STU00275,CL0033,Danilo,Iannelli,M,ITA
STU00276,CL0033,Gloria,Aloisio,F,ITA
STU00277,CL0033,Carlo,Panatta,M,ITA
STU00278,CL0033,Gioacchino,Ceci,M,ITA
STU00279,CL0033,Ivo,Vianello,M,ITA
STU00280,CL0033,Leopoldo,Bruno,M,ITA
STU00281,CL0034,Santino,Lerner,M,ITA
STU00282,CL0034,Ignazio,Trussardi,M,ITA
STU00283,CL0034,Eraldo,Favata,M,ITA
STU00284,CL0034,Coluccio,Cassarà,M,NON_ITA
STU00285,CL0034,Roberto,Carocci,M,ITA
STU00286,CL0034,Leone,Bernini,M,ITA
STU00287,CL0034,Cesare,Scamarcio,M,NON_ITA
STU00288,CL0035,Vittorio,Veltroni,M,ITA
STU00289,CL0035,Ubaldo,Ioppi,M,ITA
STU00290,CL0035,Angelo,Cagnotto,M,NON_ITA
STU00291,CL0035,Flavia,Antonelli,F,ITA
STU00292,CL0035,Orazio,Ferretti,M,NON_ITA
STU00293,CL0035,Romeo,Gonzaga,M,ITA
STU00294,CL0035,Fiorenzo,Bajamonti,M,ITA
STU00295,CL0035,Letizia,Salata,F,ITA
STU00296,CL0035,Paolo,Soderini,M,NON_ITA
STU00297,CL0035,Gioacchino,Cabibbo,M,ITA
STU00298,CL0036,Micheletto,Orsini,M,ITA
STU00299,CL0036,Tullio,Lupo,M,ITA
STU00300,CL0036,Ippazio,Gaiatto,M,ITA
STU00301,CL0036,Piersanti,Ritacca,M,NON_ITA
STU00302,CL0036,Roman,Rienzo,M,NON_ITA
STU00303,CL0036,Greco,Cagnin,M,ITA
STU00304,CL0036,Oreste,Riccardi,M,NON_ITA
STU00305,CL0036,Lucio,Correr,M,ITA
STU00306,CL0037,Matteo,Gabbana,M,NON_ITA
STU00307,CL0037,Giovanni,Tarantino,M,ITA
STU00308,CL0037,Hugo,Bragadin,M,ITA
STU00309,CL0037,Dario,Papetti,M,ITA
STU00310,CL0037,Ivan,Totino,M,NON_ITA
STU00311,CL0037,Nanni,Ferrara,M,ITA
STU00312,CL0037,Marcello,Fanucci,M,ITA
STU00313,CL0038,Ennio,Malaparte,M,ITA
STU00314,CL0038,Gianmarco,Armani,M,NON_ITA
STU00315,CL0038,Marcantonio,Sgarbi,M,NON_ITA
STU00316,CL0038,Benvenuto,Interminelli,M,ITA
STU00317,CL0038,Puccio,Rocca,M,ITA
STU00318,CL0038,Pellegrino,Tarchetti,M,NON_ITA
STU00319,CL0038,Fabrizio,Borgia,M,ITA
STU00320,CL0038,Nico,Columbo,M,ITA
STU00321,CL0038,Graziano,Caboto,M,NON_ITA
STU00322,CL0039,Cipriano,Ferragamo,M,ITA
STU00323,CL0039,Mario,Monti,M,NON_ITA
STU00324,CL0039,Edoardo,Ceci,M,ITA
STU00325,CL0039,Roman,Bersani,M,NON_ITA
STU00326,CL0039,Franco,Bongiorno,M,ITA
STU00327,CL0039,Pier,Ruggeri,M,NON_ITA
STU00328,CL0039,Giustino,Gori,M,ITA
STU00329,CL0039,Damiano,Medici,M,NON_ITA
STU00330,CL0039,Amedeo,Scarpetta,M,ITA
STU00331,CL0039,Osvaldo,Veneziano,M,ITA
STU00332,CL0040,Puccio,Nonis,M,ITA
STU00333,CL0040,Amleto,Guariento,M,NON_ITA
STU00334,CL0040,Franco,Mogherini,M,ITA
STU00335,CL0040,Amleto,Binaghi,M,ITA
STU00336,CL0040,Girolamo,Conte,M,ITA
STU00337,CL0040,Leopoldo,Broggini,M,ITA
STU00338,CL0040,Pierpaolo,Sismondi,M,ITA
STU00339,CL0040,Guido,Antonetti,M,ITA
STU00340,CL0041,Fabrizio,Agazzi,M,NON_ITA
STU00341,CL0041,Gino,Amaldi,M,ITA
STU00342,CL0041,Antonino,Rienzo,M,ITA
STU00343,CL0041,Severino,Taccola,M,ITA
STU00344,CL0041,Giulio,Abatantuono,M,ITA
STU00345,CL0041,Enzo,Solimena,M,ITA
STU00346,CL0041,Alderano,Taliercio,M,NON_ITA
STU00347,CL0041,Giulio,Tomasetti,M,NON_ITA
STU00348,CL0042,Paolo,Carosone,M,ITA
STU00349,CL0042,Venancio,Vercelloni,M,ITA
STU00350,CL0042,Antonio,Ziani,M,NON_ITA
STU00351,CL0042,Sandro,Pausini,M,ITA
STU00352,CL0042,Ricciotti,Vitturi,M,NON_ITA
STU00353,CL0042,Arnulfo,Ruggeri,M,NON_ITA
STU00354,CL0042,Tullio,Vasari,M,ITA
STU00355,CL0043,Daniele,Barracco,M,ITA
STU00356,CL0043,Vincentio,Renzi,M,ITA
STU00357,CL0043,Patrizio,Cainero,M,NON_ITA
STU00358,CL0043,Niccolò,Volta,M,ITA
STU00359,CL0043,Pierluigi,Campanella,M,ITA
STU00360,CL0043,Adelmo,Trobbiani,M,ITA
STU00361,CL0043,Gianpaolo,Mannoia,M,ITA
STU00362,CL0044,Ubaldo,Tanzini,M,ITA
STU00363,CL0044,Gabriele,Tognazzi,M,ITA
STU00364,CL0044,Amadeo,Cianciolo,M,ITA
STU00365,CL0044,Gioachino,Panicucci,M,ITA
STU00366,CL0044,Liberto,Rienzo,M,ITA
STU00367,CL0044,Leone,Puccini,M,ITA
STU00368,CL0044,Nicola,Maderno,M,NON_ITA
STU00369,CL0045,Giosuè,Montanari,M,ITA
STU00370,CL0045,Sebastiano,Mercati,M,NON_ITA
STU00371,CL0045,Pomponio,Giunti,M,ITA
STU00372,CL0045,Fiorenzo,Donà,M,ITA
STU00373,CL0045,Girolamo,Bianchi,M,NON_ITA
STU00374,CL0045,Pier,Parini,M,ITA
STU00375,CL0045,Luciano,Anguillara,M,ITA
STU00376,CL0045,Dario,Calvo,M,ITA
STU00377,CL0046,Enzo,Iannuzzi,M,NON_ITA
STU00378,CL0046,Fulvio,Cavanna,M,NON_ITA
STU00379,CL0046,Ivo,Abbagnale,M,ITA
STU00380,CL0046,Donatello,Badoglio,M,ITA
STU00381,CL0046,Nico,Cilea,M,ITA
STU00382,CL0046,Biagio,Pozzecco,M,NON_ITA
STU00383,CL0046,Ansaldo,Turchetta,M,NON_ITA
STU00384,CL0046,Bartolomeo,Binaghi,M,ITA
STU00385,CL0046,Ippazio,Endrizzi,M,NON_ITA
STU00386,CL0046,Lodovico,Udinese,M,NON_ITA
STU00387,CL0047,Gioachino,Camiscione,M,ITA
STU00388,CL0047,Cipriano,Tiepolo,M,ITA
STU00389,CL0047,Sandro,Bernardini,M,ITA
STU00390,CL0047,Nicola,Caironi,M,NON_ITA
STU00391,CL0047,Jacopo,Marazzi,M,ITA
STU00392,CL0047,Fredo,Broschi,M,ITA
STU00393,CL0047,Giampaolo,Ferrari,M,NON_ITA
STU00394,CL0047,Maurilio,Cortese,M,ITA
STU00395,CL0048,Gustavo,Armellini,M,ITA
STU00396,CL0048,Gianni,Mannoia,M,NON_ITA
STU00397,CL0048,Elmo,Chiesa,M,NON_ITA
STU00398,CL0048,Ferdinando,Borroni,M,ITA
STU00399,CL0048,Gianfrancesco,Montalti,M,ITA
STU00400,CL0048,Tonino,Verga,M,ITA
STU00401,CL0048,Ezio,Gabrieli,M,ITA
STU00402,CL0048,Pompeo,Finetti,M,ITA
STU00403,CL0048,Ferdinando,Prada,M,ITA
STU00404,CL0049,Piermaria,Bova,M,ITA
STU00405,CL0049,Piero,Musatti,M,ITA
STU00406,CL0049,Alfio,Interiano,M,NON_ITA
STU00407,CL0049,Fulvio,Legnante,M,NON_ITA
STU00408,CL0049,Beppe,Asprucci,M,ITA
STU00409,CL0049,Ruggero,Priuli,M,ITA
STU00410,CL0049,Martino,Broggini,M,ITA
STU00411,CL0049,Giancarlo,Fattori,M,NON_ITA
STU00412,CL0050,Maurilio,Cheda,M,ITA
STU00413,CL0050,Ezio,Berrè,M,ITA
STU00414,CL0050,Flavio,Bonomo,M,ITA
STU00415,CL0050,Guglielmo,Deledda,M,ITA
STU00416,CL0050,Corrado,Travia,M,ITA
STU00417,CL0050,Luigi,Canali,M,ITA
STU00418,CL0050,Rodolfo,Silvestri,M,NON_ITA
STU00419,CL0050,Alessio,Abbagnale,M,ITA
STU00420,CL0051,Margherita,Veneziano,F,ITA
STU00421,CL0051,Cristina,Gelli,F,ITA
STU00422,CL0051,Tiziano,Bernini,M,NON_ITA
STU00423,CL0051,Rita,Ricolfi,F,ITA
STU00424,CL0051,Amanda,Finetti,F,ITA
STU00425,CL0051,Elena,Giannotti,F,ITA
STU00426,CL0051,Simonetta,Guglielmi,F,ITA
STU00427,CL0052,Griselda,Travaglia,F,ITA
STU00428,CL0052,Alessia,Juvara,F,ITA
STU00429,CL0052,Paola,Castioni,F,ITA
STU00430,CL0052,Fiamma,Falcone,F,ITA
STU00431,CL0052,Giacobbe,Fuseli,M,ITA
STU00432,CL0052,Alfio,Iannucci,M,ITA
STU00433,CL0052,Matteo,Monteverdi,M,ITA
STU00434,CL0052,Lisa,Monti,F,ITA
STU00435,CL0052,Serena,Mancini,F,ITA
STU00436,CL0053,Bianca,Draghi,F,ITA
STU00437,CL0053,Virginia,Trillini,F,ITA
STU00438,CL0053,Lucia,Puglisi,F,ITA
STU00439,CL0053,Fedele,Abbagnale,M,ITA
STU00440,CL0053,Paulina,Alighieri,F,NON_ITA
STU00441,CL0053,Nicoletta,Sismondi,F,ITA
STU00442,CL0053,Mariana,Armani,F,ITA
STU00443,CL0053,Ninetta,Ferrabosco,F,ITA
STU00444,CL0053,Giovanni,Filogamo,M,ITA
STU00445,CL0054,Alessia,Orengo,F,ITA
STU00446,CL0054,Silvestro,Manunta,M,ITA
STU00447,CL0054,Eugenia,Monduzzi,F,ITA
STU00448,CL0054,Annamaria,Barillaro,F,ITA
STU00449,CL0054,Giustino,Bettin,M,NON_ITA
STU00450,CL0054,Romolo,Iacobucci,M,ITA
STU00451,CL0054,Monica,Rossi,F,ITA
STU00452,CL0054,Michelangelo,Bocca,M,ITA
STU00453,CL0054,Giuliano,Rusticucci,M,ITA
STU00454,CL0054,Lisa,Muti,F,ITA
STU00455,CL0055,Melissa,Farnese,F,ITA
STU00456,CL0055,Lilla,Farinelli,F,ITA
STU00457,CL0055,Ornella,Caruso,F,ITA
STU00458,CL0055,Ludovico,Ferrara,M,ITA
STU00459,CL0055,Ubaldo,Ferrara,M,ITA
STU00460,CL0055,Danilo,Boito,M,ITA
STU00461,CL0055,Danilo,Mondadori,M,ITA
STU00462,CL0055,Damiano,Valentino,M,ITA
STU00463,CL0056,Fiamma,Renier,F,ITA
STU00464,CL0056,Evangelista,Sanudo,F,ITA
STU00465,CL0056,Giustino,Sommaruga,M,ITA
STU00466,CL0056,Ettore,Galuppi,M,NON_ITA
STU00467,CL0056,Alina,Foa,F,ITA
STU00468,CL0056,Lauretta,Lombardi,F,NON_ITA
STU00469,CL0056,Matteo,Antonini,M,ITA
STU00470,CL0057,Melina,Ferrazzi,F,NON_ITA
STU00471,CL0057,Margherita,Esposito,F,NON_ITA
STU00472,CL0057,Daria,Scarpetta,F,ITA
STU00473,CL0057,Pier,Dulbecco,M,ITA
STU00474,CL0057,Angelina,Gualtieri,F,NON_ITA
STU00475,CL0057,Nedda,Argurio,F,ITA
STU00476,CL0057,Etta,Granatelli,F,ITA
STU00477,CL0057,Giustino,Garzoni,M,ITA
STU00478,CL0057,Laura,Cainero,F,ITA
STU00479,CL0057,Leopoldo,Morlacchi,M,ITA
STU00480,CL0058,Adamo,Scialpi,M,ITA
STU00481,CL0058,Emma,Ferrante,F,ITA
STU00482,CL0058,Teresa,Marini,F,NON_ITA
STU00483,CL0058,Oreste,Bernini,M,ITA
STU00484,CL0058,Annetta,Renzi,F,NON_ITA
STU00485,CL0058,Telemaco,Nolcini,M,ITA
STU00486,CL0058,Rosaria,Guariento,F,ITA
STU00487,CL0058,Caterina,Mimun,F,ITA
STU00488,CL0058,Pellegrino,Petrocelli,M,ITA
STU00489,CL0058,Damiano,Trapanese,M,ITA
STU00490,CL0059,Camilla,Segni,F,ITA
STU00491,CL0059,Temistocle,Savorgnan,M,ITA
STU00492,CL0059,Giancarlo,Corradi,M,ITA
STU00493,CL0059,Dolores,Cammarata,F,NON_ITA
STU00494,CL0059,Alfredo,Comisso,M,ITA
STU00495,CL0059,Ubaldo,Fornaciari,M,ITA
STU00496,CL0059,Ermanno,Gilardoni,M,NON_ITA
STU00497,CL0060,Goffredo,Antonini,M,ITA
STU00498,CL0060,Lilla,Saracino,F,ITA
STU00499,CL0060,Dino,Campano,M,NON_ITA
STU00500,CL0060,Ludovica,Sauro,F,NON_ITA
STU00501,CL0060,Mattia,Spadafora,M,ITA
STU00502,CL0060,Luciana,Nievo,F,ITA
STU00503,CL0060,Laura,Bottaro,F,ITA
STU00504,CL0060,Vito,Cilibrasi,M,ITA
STU00505,CL0060,Lorenzo,Rossellini,M,NON_ITA
STU00506,CL0060,Erika,Matteotti,F,NON_ITA
STU00507,CL0061,Amalia,Roccabonella,F,ITA
