id_classe,materia,id_docente,nome_docente
CL0013,Matematica,DOC0020,Sig.ra Paulina Argentero
CL0013,Inglese,DOC0085,Federico Capuana
CL0014,Italiano,DOC0029,Tonia Nosiglia
CL0014,Matematica,DOC0014,Elena Gargallo-Borroni
CL0014,Inglese,DOC0045,Claudia Filangieri
CL0015,Italiano,DOC0086,Gioele Lippomano-Brancaccio
CL0015,Matematica,DOC0079,Lando Federici
CL0015,Inglese,DOC0062,Serena Gradenigo-Pareto
CL0016,Italiano,DOC0063,Piergiorgio Curatoli-Battelli
CL0016,Matematica,DOC0003,Isabella Mezzetta
CL0016,Inglese,DOC0001,Ranieri Martucci-Pistoletto
CL0017,Italiano,DOC0071,Ramona Piazzi
CL0017,Matematica,DOC0053,Victoria Balbi
CL0017,Inglese,DOC0002,Diana Canali
CL0018,Italiano,DOC0068,Ramona Giacconi
CL0018,Matematica,DOC0093,Gianluigi Impastato
CL0018,Inglese,DOC0036,Gaspare Vecellio
CL0019,Italiano,DOC0037,Ansaldo Calvo
CL0019,Matematica,DOC0003,Isabella Mezzetta
CL0019,Inglese,DOC0065,Santino Migliaccio
CL0020,Italiano,DOC0087,Romina Bersani-Rocca
CL0020,Matematica,DOC0056,Ermenegildo Boccaccio
CL0020,Inglese,DOC0023,Luciano Alboni-Rismondo
CL0021,Italiano,DOC0013,Elisa Lanfranchi
CL0021,Matematica,DOC0068,Ramona Giacconi
CL0021,Inglese,DOC0020,Sig.ra Paulina Argentero
CL0022,Italiano,DOC0029,Tonia Nosiglia
CL0022,Matematica,DOC0035,Melina Monicelli
CL0022,Inglese,DOC0073,Santino Campise
CL0023,Italiano,DOC0020,Sig.ra Paulina Argentero
CL0023,Matematica,DOC0097,Angelina Bataglia
CL0023,Inglese,DOC0090,Dott. Giulia Ferretti
CL0024,Italiano,DOC0013,Elisa Lanfranchi
CL0024,Matematica,DOC0011,Bruno Cabrini
CL0024,Inglese,DOC0086,Gioele Lippomano-Brancaccio
CL0025,Italiano,DOC0070,Piergiorgio Scaramucci
CL0025,Matematica,DOC0053,Victoria Balbi
CL0025,Inglese,DOC0097,Angelina Bataglia
CL0026,Italiano,DOC0030,Simonetta Troisi
CL0026,Matematica,DOC0071,Ramona Piazzi
CL0026,Inglese,DOC0008,Dott. Gemma Borromini
CL0027,Italiano,DOC0067,Caterina Boccaccio
CL0027,Matematica,DOC0054,Cipriano Segni
CL0027,Inglese,DOC0069,Dino Caccianemico
CL0028,Italiano,DOC0077,Hugo Barracco
CL0028,Matematica,DOC0076,Sergius Micca
CL0028,Inglese,DOC0009,Dott. Giada Mazzocchi
CL0029,Italiano,DOC0049,Luisa Solimena-Olivetti
CL0029,Matematica,DOC0050,Gianna Cimarosa
CL0029,Inglese,DOC0017,Clelia Morandi
CL0030,Italiano,DOC0003,Isabella Mezzetta
CL0030,Matematica,DOC0026,Rolando Bulzoni-Mazzanti
CL0030,Inglese,DOC0067,Caterina Boccaccio
CL0031,Italiano,DOC0088,Carla Gasperi
CL0031,Matematica,DOC0054,Cipriano Segni
CL0031,Inglese,DOC0020,Sig.ra Paulina Argentero
CL0032,Italiano,DOC0013,Elisa Lanfranchi
CL0032,Matematica,DOC0023,Luciano Alboni-Rismondo
CL0032,Inglese,DOC0061,Germana Giusti
CL0033,Italiano,DOC0007,Elena Alighieri
CL0033,Matematica,DOC0071,Ramona Piazzi
CL0033,Inglese,DOC0052,Sole Bragaglia
CL0034,Italiano,DOC0011,Bruno Cabrini
CL0034,Matematica,DOC0052,Sole Bragaglia
CL0034,Inglese,DOC0065,Santino Migliaccio
CL0035,Italiano,DOC0100,Loredana Bocelli
CL0035,Matematica,DOC0090,Dott. Giulia Ferretti
CL0035,Inglese,DOC0017,Clelia Morandi
CL0036,Italiano,DOC0062,Serena Gradenigo-Pareto
CL0036,Matematica,DOC0072,Monica Ortolani
CL0036,Inglese,DOC0026,Rolando Bulzoni-Mazzanti
CL0037,Italiano,DOC0051,Amadeo Acerbi
CL0037,Matematica,DOC0084,Eraldo Leone
CL0037,Inglese,DOC0074,Sig.ra Imelda Morricone
CL0038,Italiano,DOC0072,Monica Ortolani
CL0038,Matematica,DOC0079,Lando Federici
CL0038,Inglese,DOC0095,Ennio Leonetti
CL0039,Italiano,DOC0032,Annamaria Trevisani
CL0039,Matematica,DOC0032,Annamaria Trevisani
CL0039,Inglese,DOC0010,Fortunata Ortese
CL0040,Italiano,DOC0089,Marcella Broschi
CL0040,Matematica,DOC0073,Santino Campise
CL0040,Inglese,DOC0008,Dott. Gemma Borromini
CL0041,Italiano,DOC0018,Sig. Domenico Iannotti
CL0041,Matematica,DOC0015,Amanda Cicala
CL0041,Inglese,DOC0060,Elena Toselli-Ponti
CL0042,Italiano,DOC0054,Cipriano Segni
CL0042,Matematica,DOC0022,Clelia Notarbartolo
CL0042,Inglese,DOC0098,Bianca Satta
CL0043,Italiano,DOC0029,Tonia Nosiglia
CL0043,Matematica,DOC0038,Annamaria Brichese-Marinetti
CL0043,Inglese,DOC0078,Griselda Mazzocchi
CL0044,Italiano,DOC0003,Isabella Mezzetta
CL0044,Matematica,DOC0098,Bianca Satta
CL0044,Inglese,DOC0005,Valerio Gaito
CL0045,Italiano,DOC0016,Fortunata Mengolo-Tresoldi
CL0045,Matematica,DOC0050,Gianna Cimarosa
CL0045,Inglese,DOC0058,Bianca Pace
CL0046,Italiano,DOC0049,Luisa Solimena-Olivetti
CL0046,Matematica,DOC0057,Elladio Cattaneo
CL0046,Inglese,DOC0059,Atenulf Pozzecco
CL0047,Italiano,DOC0005,Valerio Gaito
CL0047,Matematica,DOC0023,Luciano Alboni-Rismondo
CL0047,Inglese,DOC0072,Monica Ortolani
CL0048,Italiano,DOC0100,Loredana Bocelli
CL0048,Matematica,DOC0039,Cecilia Correr
CL0048,Inglese,DOC0091,Costantino Valier
CL0049,Italiano,DOC0063,Piergiorgio Curatoli-Battelli
CL0049,Matematica,DOC0056,Ermenegildo Boccaccio
CL0049,Inglese,DOC0018,Sig. Domenico Iannotti
CL0050,Italiano,DOC0092,Marco Tornatore
CL0050,Matematica,DOC0050,Gianna Cimarosa
CL0050,Inglese,DOC0063,Piergiorgio Curatoli-Battelli
CL0051,Italiano,DOC0001,Ranieri Martucci-Pistoletto
CL0051,Matematica,DOC0078,Griselda Mazzocchi
CL0051,Inglese,DOC0061,Germana Giusti
CL0052,Italiano,DOC0002,Diana Canali
CL0052,Matematica,DOC0087,Romina Bersani-Rocca
CL0052,Inglese,DOC0023,Luciano Alboni-Rismondo
CL0053,Italiano,DOC0072,Monica Ortolani
CL0053,Matematica,DOC0090,Dott. Giulia Ferretti
CL0053,Inglese,DOC0091,Costantino Valier
CL0054,Italiano,DOC0098,Bianca Satta
CL0054,Matematica,DOC0051,Amadeo Acerbi
CL0054,Inglese,DOC0069,Dino Caccianemico
CL0055,Italiano,DOC0043,Raimondo Navone
CL0055,Matematica,DOC0003,Isabella Mezzetta
CL0055,Inglese,DOC0078,Griselda Mazzocchi
CL0056,Italiano,DOC0058,Bianca Pace
CL0056,Matematica,DOC0049,Luisa Solimena-Olivetti
CL0056,Inglese,DOC0066,Dott. Fiorino Cannizzaro
CL0057,Italiano,DOC0095,Ennio Leonetti
CL0057,Matematica,DOC0030,Simonetta Troisi
CL0057,Inglese,DOC0065,Santino Migliaccio
CL0058,Italiano,DOC0091,Costantino Valier
CL0058,Matematica,DOC0002,Diana Canali
CL0058,Inglese,DOC0030,Simonetta Troisi
CL0059,Italiano,DOC0079,Lando Federici
CL0059,Matematica,DOC0098,Bianca Satta
CL0059,Inglese,DOC0016,Fortunata Mengolo-Tresoldi
CL0060,Italiano,DOC0031,Adamo Baglioni
CL0060,Matematica,DOC0095,Ennio Leonetti
CL0060,Inglese,DOC0055,Imelda Scamarcio
CL0061,Italiano,DOC0007,Elena Alighieri
CL0061,Matematica,DOC0083,Augusto Alfonsi-Saracino
CL0061,Inglese,DOC0032,Annamaria Trevisani
CL0062,Italiano,DOC0069,Dino Caccianemico
CL0062,Matematica,DOC0015,Amanda Cicala
CL0062,Inglese,DOC0001,Ranieri Martucci-Pistoletto
CL0063,Italiano,DOC0045,Claudia Filangieri
CL0063,Matematica,DOC0081,Toni Trincavelli
CL0063,Inglese,DOC0078,Griselda Mazzocchi
CL0064,Italiano,DOC0042,Luciana Farinelli
CL0064,Matematica,DOC0011,Bruno Cabrini
CL0064,Inglese,DOC0091,Costantino Valier
CL0065,Italiano,DOC0013,Elisa Lanfranchi
CL0065,Matematica,DOC0063,Piergiorgio Curatoli-Battelli
CL0065,Inglese,DOC0003,Isabella Mezzetta
CL0066,Italiano,DOC0010,Fortunata Ortese
CL0066,Matematica,DOC0063,Piergiorgio Curatoli-Battelli
CL0066,Inglese,DOC0081,Toni Trincavelli
CL0067,Italiano,DOC0027,Gelsomina Antonioni
CL0067,Matematica,DOC0088,Carla Gasperi
CL0067,Inglese,DOC0054,Cipriano Segni
CL0068,Italiano,DOC0041,Mariano Redi
CL0068,Matematica,DOC0082,Dott. Leonardo Armellini
CL0068,Inglese,DOC0058,Bianca Pace
CL0069,Italiano,DOC0062,Serena Gradenigo-Pareto
CL0069,Matematica,DOC0049,Luisa Solimena-Olivetti
CL0069,Inglese,DOC0061,Germana Giusti
CL0070,Italiano,DOC0085,Federico Capuana
CL0070,Matematica,DOC0024,Ludovica Tremonti
CL0070,Inglese,DOC0074,Sig.ra Imelda Morricone
CL0071,Italiano,DOC0065,Santino Migliaccio
CL0071,Matematica,DOC0100,Loredana Bocelli
CL0071,Inglese,DOC0085,Federico Capuana
CL0072,Italiano,DOC0099,Ilaria Leone
CL0072,Matematica,DOC0013,Elisa Lanfranchi
CL0072,Inglese,DOC0030,Simonetta Troisi
CL0073,Italiano,DOC0064,Durante Fischetti-Trentini
CL0073,Matematica,DOC0044,Bianca Pagliaro
CL0073,Inglese,DOC0007,Elena Alighieri
CL0074,Italiano,DOC0067,Caterina Boccaccio
CL0074,Matematica,DOC0068,Ramona Giacconi
CL0074,Inglese,DOC0075,Licia Gatto
CL0075,Italiano,DOC0055,Imelda Scamarcio
CL0075,Matematica,DOC0037,Ansaldo Calvo
CL0075,Inglese,DOC0042,Luciana Farinelli
CL0076,Italiano,DOC0041,Mariano Redi
CL0076,Matematica,DOC0097,Angelina Bataglia
CL0076,Inglese,DOC0023,Luciano Alboni-Rismondo
CL0077,Italiano,DOC0006,Martino Gaggini
CL0077,Matematica,DOC0095,Ennio Leonetti
CL0077,Inglese,DOC0094,Dott. Chiara Panzera
CL0078,Italiano,DOC0056,Ermenegildo Boccaccio
CL0078,Matematica,DOC0067,Caterina Boccaccio
CL0078,Inglese,DOC0036,Gaspare Vecellio
CL0079,Italiano,DOC0020,Sig.ra Paulina Argentero
CL0079,Matematica,DOC0036,Gaspare Vecellio
CL0079,Inglese,DOC0078,Griselda Mazzocchi
CL0080,Italiano,DOC0016,Fortunata Mengolo-Tresoldi
CL0080,Matematica,DOC0084,Eraldo Leone
CL0080,Inglese,DOC0026,Rolando Bulzoni-Mazzanti
CL0081,Italiano,DOC0064,Durante Fischetti-Trentini
CL0081,Matematica,DOC0059,Atenulf Pozzecco
CL0081,Inglese,DOC0073,Santino Campise
CL0082,Italiano,DOC0002,Diana Canali
CL0082,Matematica,DOC0096,Elladio Migliaccio
CL0082,Inglese,DOC0068,Ramona Giacconi
CL0083,Italiano,DOC0029,Tonia Nosiglia
CL0083,Matematica,DOC0067,Caterina Boccaccio
CL0083,Inglese,DOC0014,Elena Gargallo-Borroni
CL0084,Italiano,DOC0094,Dott. Chiara Panzera
CL0084,Matematica,DOC0078,Griselda Mazzocchi
CL0084,Inglese,DOC0077,Hugo Barracco
CL0085,Italiano,DOC0031,Adamo Baglioni
CL0085,Matematica,DOC0086,Gioele Lippomano-Brancaccio
CL0085,Inglese,DOC0064,Durante Fischetti-Trentini
CL0086,Italiano,DOC0056,Ermenegildo Boccaccio
CL0086,Matematica,DOC0054,Cipriano Segni
CL0086,Inglese,DOC0008,Dott. Gemma Borromini
CL0087,Italiano,DOC0014,Elena Gargallo-Borroni
CL0087,Matematica,DOC0099,Ilaria Leone
CL0087,Inglese,DOC0036,Gaspare Vecellio
CL0088,Italiano,DOC0094,Dott. Chiara Panzera
CL0088,Matematica,DOC0036,Gaspare Vecellio
CL0088,Inglese,DOC0033,Sandro Versace-Battaglia
CL0089,Italiano,DOC0026,Rolando Bulzoni-Mazzanti
CL0089,Matematica,DOC0083,Augusto Alfonsi-Saracino
CL0089,Inglese,DOC0025,Arnulfo Greggio
CL0090,Italiano,DOC0078,Griselda Mazzocchi
CL0090,Matematica,DOC0016,Fortunata Mengolo-Tresoldi
CL0090,Inglese,DOC0038,Annamaria Brichese-Marinetti
CL0091,Italiano,DOC0008,Dott. Gemma Borromini
CL0091,Matematica,DOC0095,Ennio Leonetti
CL0091,Inglese,DOC0025,Arnulfo Greggio
CL0092,Italiano,DOC0065,Santino Migliaccio
CL0092,Matematica,DOC0037,Ansaldo Calvo
CL0092,Inglese,DOC0032,Annamaria Trevisani
CL0093,Italiano,DOC0055,Imelda Scamarcio
CL0093,Matematica,DOC0090,Dott. Giulia Ferretti
CL0093,Inglese,DOC0002,Diana Canali
CL0094,Italiano,DOC0034,Bianca Sauro
CL0094,Matematica,DOC0027,Gelsomina Antonioni
CL0094,Inglese,DOC0019,Marissa Modugno
CL0095,Italiano,DOC0004,Etta Cassarà
CL0095,Matematica,DOC0004,Etta Cassarà
CL0095,Inglese,DOC0084,Eraldo Leone
CL0096,Italiano,DOC0064,Durante Fischetti-Trentini
CL0096,Matematica,DOC0078,Griselda Mazzocchi
CL0096,Inglese,DOC0029,Tonia Nosiglia
CL0096,Greco,DOC0089,Marcella Broschi
CL0096,Latino,DOC0037,Ansaldo Calvo
CL0096,Filosofia,DOC0005,Valerio Gaito
CL0097,Italiano,DOC0044,Bianca Pagliaro
CL0097,Matematica,DOC0086,Gioele Lippomano-Brancaccio
CL0097,Inglese,DOC0021,Annunziata Malenchini-Caruso
CL0097,Greco,DOC0089,Marcella Broschi
CL0097,Latino,DOC0061,Germana Giusti
CL0097,Filosofia,DOC0058,Bianca Pace
CL0098,Italiano,DOC0066,Dott. Fiorino Cannizzaro
CL0098,Matematica,DOC0040,Donatella Pace
CL0098,Inglese,DOC0038,Annamaria Brichese-Marinetti
CL0098,Greco,DOC0084,Eraldo Leone
CL0098,Latino,DOC0091,Costantino Valier
CL0098,Filosofia,DOC0052,Sole Bragaglia
CL0099,Italiano,DOC0031,Adamo Baglioni
CL0099,Matematica,DOC0040,Donatella Pace
CL0099,Inglese,DOC0086,Gioele Lippomano-Brancaccio
CL0099,Greco,DOC0042,Luciana Farinelli
CL0099,Latino,DOC0027,Gelsomina Antonioni
CL0099,Filosofia,DOC0031,Adamo Baglioni
CL0100,Italiano,DOC0020,Sig.ra Paulina Argentero
CL0100,Matematica,DOC0091,Costantino Valier
CL0100,Inglese,DOC0020,Sig.ra Paulina Argentero
CL0100,Greco,DOC0005,Valerio Gaito
CL0100,Latino,DOC0011,Bruno Cabrini
CL0100,Filosofia,DOC0008,Dott. Gemma Borromini
CL0101,Italiano,DOC0016,Fortunata Mengolo-Tresoldi
CL0101,Matematica,DOC0019,Marissa Modugno
CL0101,Inglese,DOC0014,Elena Gargallo-Borroni
CL0101,Greco,DOC0058,Bianca Pace
CL0101,Latino,DOC0017,Clelia Morandi
CL0101,Filosofia,DOC0020,Sig.ra Paulina Argentero
CL0102,Italiano,DOC0010,Fortunata Ortese
CL0102,Matematica,DOC0037,Ansaldo Calvo
CL0102,Inglese,DOC0099,Ilaria Leone
CL0102,Greco,DOC0043,Raimondo Navone
CL0102,Latino,DOC0089,Marcella Broschi
CL0102,Filosofia,DOC0041,Mariano Redi
CL0103,Italiano,DOC0085,Federico Capuana
CL0103,Matematica,DOC0023,Luciano Alboni-Rismondo
CL0103,Inglese,DOC0059,Atenulf Pozzecco
CL0103,Fisica,DOC0084,Eraldo Leone
CL0103,Scienze,DOC0086,Gioele Lippomano-Brancaccio
CL0103,Disegno Tecnico,DOC0039,Cecilia Correr
CL0104,Italiano,DOC0014,Elena Gargallo-Borroni
CL0104,Matematica,DOC0020,Sig.ra Paulina Argentero
CL0104,Inglese,DOC0098,Bianca Satta
CL0104,Fisica,DOC0037,Ansaldo Calvo
CL0104,Scienze,DOC0023,Luciano Alboni-Rismondo
CL0104,Disegno Tecnico,DOC0013,Elisa Lanfranchi
CL0105,Italiano,DOC0037,Ansaldo Calvo
CL0105,Matematica,DOC0003,Isabella Mezzetta
CL0105,Inglese,DOC0072,Monica Ortolani
CL0105,Fisica,DOC0088,Carla Gasperi
CL0105,Scienze,DOC0051,Amadeo Acerbi
CL0105,Disegno Tecnico,DOC0081,Toni Trincavelli
CL0106,Italiano,DOC0018,Sig. Domenico Iannotti
CL0106,Matematica,DOC0044,Bianca Pagliaro
CL0106,Inglese,DOC0002,Diana Canali
CL0106,Fisica,DOC0074,Sig.ra Imelda Morricone
CL0106,Scienze,DOC0086,Gioele Lippomano-Brancaccio
CL0106,Disegno Tecnico,DOC0042,Luciana Farinelli
CL0107,Italiano,DOC0020,Sig.ra Paulina Argentero
CL0107,Matematica,DOC0077,Hugo Barracco
CL0107,Inglese,DOC0037,Ansaldo Calvo
CL0107,Fisica,DOC0049,Luisa Solimena-Olivetti
CL0107,Scienze,DOC0017,Clelia Morandi
CL0107,Disegno Tecnico,DOC0003,Isabella Mezzetta
CL0108,Italiano,DOC0025,Arnulfo Greggio
CL0108,Matematica,DOC0090,Dott. Giulia Ferretti
CL0108,Inglese,DOC0047,Valerio Modugno
CL0108,Fisica,DOC0045,Claudia Filangieri
CL0108,Scienze,DOC0093,Gianluigi Impastato
CL0108,Disegno Tecnico,DOC0049,Luisa Solimena-Olivetti
CL0109,Italiano,DOC0095,Ennio Leonetti
CL0109,Matematica,DOC0095,Ennio Leonetti
CL0109,Inglese,DOC0084,Eraldo Leone
CL0109,Fisica,DOC0001,Ranieri Martucci-Pistoletto
CL0109,Scienze,DOC0028,Melina Prati
CL0109,Disegno Tecnico,DOC0092,Marco Tornatore
CL0110,Italiano,DOC0019,Marissa Modugno
CL0110,Matematica,DOC0022,Clelia Notarbartolo
CL0110,Inglese,DOC0020,Sig.ra Paulina Argentero
CL0110,Fisica,DOC0082,Dott. Leonardo Armellini
CL0110,Scienze,DOC0089,Marcella Broschi
CL0110,Disegno Tecnico,DOC0099,Ilaria Leone
CL0111,Italiano,DOC0030,Simonetta Troisi
CL0111,Matematica,DOC0090,Dott. Giulia Ferretti
CL0111,Inglese,DOC0079,Lando Federici
CL0111,Fisica,DOC0025,Arnulfo Greggio
CL0111,Scienze,DOC0067,Caterina Boccaccio
CL0111,Disegno Tecnico,DOC0078,Griselda Mazzocchi
CL0112,Italiano,DOC0023,Luciano Alboni-Rismondo
CL0112,Matematica,DOC0001,Ranieri Martucci-Pistoletto
CL0112,Inglese,DOC0037,Ansaldo Calvo
CL0112,Fisica,DOC0047,Valerio Modugno
CL0112,Scienze,DOC0061,Germana Giusti
CL0112,Disegno Tecnico,DOC0089,Marcella Broschi
CL0113,Italiano,DOC0029,Tonia Nosiglia
CL0113,Matematica,DOC0046,Natalia Sgarbi
CL0113,Inglese,DOC0029,Tonia Nosiglia
CL0113,Fisica,DOC0017,Clelia Morandi
CL0113,Scienze,DOC0030,Simonetta Troisi
CL0113,Disegno Tecnico,DOC0055,Imelda Scamarcio
CL0114,Italiano,DOC0011,Bruno Cabrini
CL0114,Matematica,DOC0058,Bianca Pace
CL0114,Inglese,DOC0009,Dott. Giada Mazzocchi
CL0114,Fisica,DOC0008,Dott. Gemma Borromini
CL0114,Scienze,DOC0044,Bianca Pagliaro
CL0114,Disegno Tecnico,DOC0007,Elena Alighieri
CL0115,Italiano,DOC0082,Dott. Leonardo Armellini
CL0115,Matematica,DOC0007,Elena Alighieri
CL0115,Inglese,DOC0047,Valerio Modugno
CL0115,Fisica,DOC0040,Donatella Pace
CL0115,Scienze,DOC0077,Hugo Barracco
CL0115,Disegno Tecnico,DOC0012,Barbara Granatelli
CL0116,Italiano,DOC0058,Bianca Pace
CL0116,Matematica,DOC0059,Atenulf Pozzecco
CL0116,Inglese,DOC0040,Donatella Pace
CL0116,Fisica,DOC0035,Melina Monicelli
CL0116,Scienze,DOC0061,Germana Giusti
CL0116,Disegno Tecnico,DOC0030,Simonetta Troisi
CL0117,Italiano,DOC0082,Dott. Leonardo Armellini
CL0117,Matematica,DOC0028,Melina Prati
CL0117,Inglese,DOC0046,Natalia Sgarbi
CL0117,Fisica,DOC0099,Ilaria Leone
CL0117,Scienze,DOC0019,Marissa Modugno
CL0117,Disegno Tecnico,DOC0039,Cecilia Correr
CL0118,Italiano,DOC0068,Ramona Giacconi
CL0118,Matematica,DOC0094,Dott. Chiara Panzera
CL0118,Inglese,DOC0096,Elladio Migliaccio
CL0118,Fisica,DOC0094,Dott. Chiara Panzera
CL0118,Scienze,DOC0038,Annamaria Brichese-Marinetti
CL0118,Disegno Tecnico,DOC0015,Amanda Cicala
CL0119,Italiano,DOC0075,Licia Gatto
CL0119,Matematica,DOC0008,Dott. Gemma Borromini
CL0119,Inglese,DOC0057,Elladio Cattaneo
CL0120,Italiano,DOC0097,Angelina Bataglia
CL0120,Matematica,DOC0077,Hugo Barracco
CL0120,Inglese,DOC0051,Amadeo Acerbi
CL0121,Italiano,DOC0079,Lando Federici
CL0121,Matematica,DOC0077,Hugo Barracco
CL0121,Inglese,DOC0079,Lando Federici
CL0122,Italiano,DOC0074,Sig.ra Imelda Morricone
CL0122,Matematica,DOC0054,Cipriano Segni
CL0122,Inglese,DOC0027,Gelsomina Antonioni
CL0123,Italiano,DOC0088,Carla Gasperi
CL0123,Matematica,DOC0022,Clelia Notarbartolo
CL0123,Inglese,DOC0090,Dott. Giulia Ferretti
CL0124,Italiano,DOC0089,Marcella Broschi
CL0124,Matematica,DOC0080,Giacomo Zito
CL0124,Inglese,DOC0065,Santino Migliaccio
CL0125,Italiano,DOC0052,Sole Bragaglia
CL0125,Matematica,DOC0004,Etta Cassarà
CL0125,Inglese,DOC0095,Ennio Leonetti
CL0126,Italiano,DOC0082,Dott. Leonardo Armellini
CL0126,Matematica,DOC0042,Luciana Farinelli
CL0126,Inglese,DOC0003,Isabella Mezzetta
CL0127,Italiano,DOC0082,Dott. Leonardo Armellini
CL0127,Matematica,DOC0039,Cecilia Correr
CL0127,Inglese,DOC0074,Sig.ra Imelda Morricone
CL0128,Italiano,DOC0032,Annamaria Trevisani
CL0128,Matematica,DOC0028,Melina Prati
CL0128,Inglese,DOC0087,Romina Bersani-Rocca
CL0129,Italiano,DOC0024,Ludovica Tremonti
CL0129,Matematica,DOC0100,Loredana Bocelli
CL0129,Inglese,DOC0098,Bianca Satta
CL0130,Italiano,DOC0081,Toni Trincavelli
CL0130,Matematica,DOC0093,Gianluigi Impastato
CL0130,Inglese,DOC0100,Loredana Bocelli
CL0131,Italiano,DOC0017,Clelia Morandi
CL0131,Matematica,DOC0064,Durante Fischetti-Trentini
CL0131,Inglese,DOC0058,Bianca Pace
CL0132,Italiano,DOC0060,Elena Toselli-Ponti
CL0132,Matematica,DOC0028,Melina Prati
CL0132,Inglese,DOC0027,Gelsomina Antonioni
CL0133,Italiano,DOC0054,Cipriano Segni
CL0133,Matematica,DOC0093,Gianluigi Impastato
CL0133,Inglese,DOC0065,Santino Migliaccio
CL0134,Italiano,DOC0018,Sig. Domenico Iannotti
CL0134,Matematica,DOC0036,Gaspare Vecellio
CL0134,Inglese,DOC0005,Valerio Gaito
CL0135,Italiano,DOC0041,Mariano Redi
CL0135,Matematica,DOC0030,Simonetta Troisi
CL0135,Inglese,DOC0076,Sergius Micca
CL0136,Italiano,DOC0024,Ludovica Tremonti
CL0136,Matematica,DOC0086,Gioele Lippomano-Brancaccio
CL0136,Inglese,DOC0023,Luciano Alboni-Rismondo
CL0137,Italiano,DOC0048,Patrizio Platini
CL0137,Matematica,DOC0049,Luisa Solimena-Olivetti
CL0137,Inglese,DOC0018,Sig. Domenico Iannotti
CL0138,Italiano,DOC0042,Luciana Farinelli
CL0138,Matematica,DOC0045,Claudia Filangieri
CL0138,Inglese,DOC0064,Durante Fischetti-Trentini
CL0139,Italiano,DOC0076,Sergius Micca
CL0139,Matematica,DOC0074,Sig.ra Imelda Morricone
CL0139,Inglese,DOC0040,Donatella Pace
CL0140,Italiano,DOC0099,Ilaria Leone
CL0140,Matematica,DOC0003,Isabella Mezzetta
CL0140,Inglese,DOC0070,Piergiorgio Scaramucci
CL0141,Italiano,DOC0024,Ludovica Tremonti
CL0141,Matematica,DOC0074,Sig.ra Imelda Morricone
CL0141,Inglese,DOC0095,Ennio Leonetti
CL0142,Italiano,DOC0054,Cipriano Segni
CL0142,Matematica,DOC0078,Griselda Mazzocchi
CL0142,Inglese,DOC0056,Ermenegildo Boccaccio
CL0143,Italiano,DOC0061,Germana Giusti
CL0143,Matematica,DOC0061,Germana Giusti
CL0143,Inglese,DOC0059,Atenulf Pozzecco
CL0144,Italiano,DOC0097,Angelina Bataglia
CL0144,Matematica,DOC0015,Amanda Cicala
CL0144,Inglese,DOC0016,Fortunata Mengolo-Tresoldi
CL0145,Italiano,DOC0038,Annamaria Brichese-Marinetti
CL0145,Matematica,DOC0018,Sig. Domenico Iannotti
CL0145,Inglese,DOC0041,Mariano Redi
CL0146,Italiano,DOC0089,Marcella Broschi
CL0146,Matematica,DOC0094,Dott. Chiara Panzera
CL0146,Inglese,DOC0062,Serena Gradenigo-Pareto
CL0147,Italiano,DOC0005,Valerio Gaito
CL0147,Matematica,DOC0098,Bianca Satta
CL0147,Inglese,DOC0054,Cipriano Segni
